route_depth,q,k,width,regime,branch_accuracy_estimate,branch_accuracy_ci_low,branch_accuracy_ci_high,branch_accuracy_n_seeds,branch_accuracy_n_cells,full_route_success_estimate,full_route_success_ci_low,full_route_success_ci_high,full_route_success_n_seeds,full_route_success_n_cells,effective_per_fork_success_estimate,effective_per_fork_success_ci_low,effective_per_fork_success_ci_high,effective_per_fork_success_n_seeds,effective_per_fork_success_n_cells,independent_prediction_estimate,independent_prediction_ci_low,independent_prediction_ci_high,independent_prediction_n_seeds,independent_prediction_n_cells,compounding_gap_estimate,compounding_gap_ci_low,compounding_gap_ci_high,compounding_gap_n_seeds,compounding_gap_n_cells,pooled_compounding_gap_estimate,pooled_compounding_gap_ci_low,pooled_compounding_gap_ci_high,pooled_compounding_gap_n_seeds,pooled_compounding_gap_n_cells,first_divergence_mean_estimate,first_divergence_mean_ci_low,first_divergence_mean_ci_high,first_divergence_mean_n_seeds,first_divergence_mean_n_cells,single_conflict_branch_accuracy_estimate,single_conflict_branch_accuracy_ci_low,single_conflict_branch_accuracy_ci_high,single_conflict_branch_accuracy_n_seeds,single_conflict_branch_accuracy_n_cells,single_conflict_conflicted_stage_accuracy_estimate,single_conflict_conflicted_stage_accuracy_ci_low,single_conflict_conflicted_stage_accuracy_ci_high,single_conflict_conflicted_stage_accuracy_n_seeds,single_conflict_conflicted_stage_accuracy_n_cells,single_conflict_overall_branch_accuracy_estimate,single_conflict_overall_branch_accuracy_ci_low,single_conflict_overall_branch_accuracy_ci_high,single_conflict_overall_branch_accuracy_n_seeds,single_conflict_overall_branch_accuracy_n_cells,single_conflict_nonconflicted_stage_accuracy_estimate,single_conflict_nonconflicted_stage_accuracy_ci_low,single_conflict_nonconflicted_stage_accuracy_ci_high,single_conflict_nonconflicted_stage_accuracy_n_seeds,single_conflict_nonconflicted_stage_accuracy_n_cells,proxy_flip_rate_estimate,proxy_flip_rate_ci_low,proxy_flip_rate_ci_high,proxy_flip_rate_n_seeds,proxy_flip_rate_n_cells,rule_flip_rate_estimate,rule_flip_rate_ci_low,rule_flip_rate_ci_high,rule_flip_rate_n_seeds,rule_flip_rate_n_cells,address_reversed_branch_accuracy_estimate,address_reversed_branch_accuracy_ci_low,address_reversed_branch_accuracy_ci_high,address_reversed_branch_accuracy_n_seeds,address_reversed_branch_accuracy_n_cells,address_removed_branch_accuracy_estimate,address_removed_branch_accuracy_ci_low,address_removed_branch_accuracy_ci_high,address_removed_branch_accuracy_n_seeds,address_removed_branch_accuracy_n_cells,address_reversed_delta_estimate,address_reversed_delta_ci_low,address_reversed_delta_ci_high,address_reversed_delta_n_seeds,address_reversed_delta_n_cells,address_removed_delta_estimate,address_removed_delta_ci_low,address_removed_delta_ci_high,address_removed_delta_n_seeds,address_removed_delta_n_cells,address_reversed_abs_delta_estimate,address_reversed_abs_delta_ci_low,address_reversed_abs_delta_ci_high,address_reversed_abs_delta_n_seeds,address_reversed_abs_delta_n_cells,address_removed_abs_delta_estimate,address_removed_abs_delta_ci_low,address_removed_abs_delta_ci_high,address_removed_abs_delta_n_seeds,address_removed_abs_delta_n_cells,proxy_spillover_estimate,proxy_spillover_ci_low,proxy_spillover_ci_high,proxy_spillover_n_seeds,proxy_spillover_n_cells,rule_spillover_estimate,rule_spillover_ci_low,rule_spillover_ci_high,rule_spillover_n_seeds,rule_spillover_n_cells
4,0.99,2,16,fixed_total,0.0423375,0.007287500000000001,0.08664500000000003,10,10,0.0005499999999999999,0.0,0.00165,10,10,0.027232698153315,0.0,0.081698094459945,10,10,3.249490408125e-05,5.532089062499999e-07,7.637355416250001e-05,10,10,0.00051750509591875,-6.0212310525e-05,0.001614178434,10,10,0.0003635130558565673,-0.0005000978001250733,0.0015918874108874026,10,10,0.0877,0.009948750000000001,0.21700625,10,10,0.022725000000000002,0.0008750000000000001,0.0611125,10,10,0.022725000000000002,0.0008750000000000001,0.05810093750000001,10,10,0.754571875,0.7499625000000001,0.76200625,10,10,0.9985208333333333,0.9966625,0.9997416666666666,10,10,0.9473500000000001,0.8955606249999999,0.9899034375000001,10,10,0.037437500000000005,0.0064615625,0.07843750000000001,10,10,0.5100625,0.497446875,0.527540625,10,10,0.37682499999999997,0.35719875,0.400725,10,10,0.467725,0.42337062499999994,0.49482499999999996,10,10,0.3344875,0.297336875,0.35767531249999995,10,10,0.467725,0.424049375,0.49467562499999995,10,10,0.3344875,0.29745968749999996,0.35761468750000003,10,10,0.036658333333333334,0.010578333333333332,0.06688750000000002,10,10,0.022483333333333334,0.007441458333333333,0.03989197916666667,10,10
4,0.99,2,16,per_fork_matched,0.4588374999999999,0.3687849999999999,0.5304721875000001,10,10,0.089,0.06555,0.10675125000000002,10,10,0.503380938529183,0.386297135787115,0.570365410824898,10,10,0.05442599692824376,0.03163694364032563,0.07888082556008658,10,10,0.034574003071756246,0.02035400323888687,0.04976497762040125,10,10,0.027006226868729184,0.012615431870374508,0.042035548265043285,10,10,1.0794000000000001,0.8011900000000001,1.32926125,10,10,0.5548125,0.40108437500000005,0.698090625,10,10,0.5548125,0.3944,0.6960309374999999,10,10,0.8664937499999998,0.8245110937499999,0.904338984375,10,10,0.9703875,0.9546531249999999,0.9811919791666667,10,10,0.4033875,0.32276124999999994,0.515590625,10,10,0.3328125,0.26127249999999996,0.3929634375,10,10,0.6650125000000001,0.6309606249999999,0.6959012499999999,10,10,0.6025250000000001,0.5581931250000001,0.6406750000000001,10,10,0.206175,0.15065,0.26990375,10,10,0.1436875,0.096098125,0.1984175,10,10,0.206175,0.15224937499999996,0.269830625,10,10,0.1436875,0.0966121875,0.19655062499999998,10,10,0.16849583333333334,0.14828166666666667,0.184929375,10,10,0.19237916666666666,0.15882312499999998,0.22114208333333338,10,10
4,0.99,2,64,fixed_total,0.5312250000000001,0.5081990625000001,0.5524374999999999,10,10,0.12384999999999999,0.12154999999999998,0.125,10,10,0.5931860833611567,0.590351135080749,0.5946035575013606,10,10,0.080893807832875,0.06767803520627812,0.09306714219114218,10,10,0.042956192167125005,0.032119850794694066,0.05447875351304812,10,10,0.04207910084658271,0.030827840100356073,0.05383187260628539,10,10,1.2475999999999998,1.1659925,1.3156512500000002,10,10,0.6970625,0.6353875,0.7501890625000001,10,10,0.6970625,0.6363490624999999,0.7496246875000001,10,10,0.9148562499999999,0.8994122656250002,0.9291449999999999,10,10,0.9874541666666665,0.9837374999999999,0.9901460416666666,10,10,0.31781249999999994,0.29435843749999996,0.34305125,10,10,0.38001250000000003,0.35594875,0.4028259375,10,10,0.7145250000000001,0.7002371875,0.7274875,10,10,0.6844750000000001,0.6786749999999999,0.6875,10,10,0.18329999999999996,0.1547,0.21197499999999997,10,10,0.15325000000000003,0.1341125,0.17317562500000003,10,10,0.18329999999999996,0.15429812499999995,0.21150375,10,10,0.15325000000000003,0.134775,0.172375,10,10,0.20878333333333332,0.20153145833333333,0.21666739583333336,10,10,0.24272083333333336,0.23562500000000003,0.24954197916666668,10,10
4,0.99,2,64,per_fork_matched,0.6129375,0.5899846875000001,0.635175625,10,10,0.12730000000000002,0.125,0.1312,10,10,0.5972099336627467,0.5946035575013606,0.6015988416047491,10,10,0.14341706431255627,0.12294284175580704,0.16441574301254533,10,10,-0.016117064312556252,-0.036198031983521874,0.0032283688623959443,10,10,-0.016944310550603244,-0.03740160530735838,0.00340103588529555,10,10,1.4231000000000003,1.3725475,1.47245,10,10,0.932925,0.909299375,0.95487625,10,10,0.932925,0.9094246875,0.9553881249999999,10,10,0.98189375,0.97546546875,0.9877349218749999,10,10,0.9982166666666668,0.9969957291666667,0.9993124999999999,10,10,0.257125,0.235574375,0.2783890625,10,10,0.4831625,0.4582325000000001,0.5086625,10,10,0.7045625000000001,0.6882615625,0.7205125,10,10,0.687,0.68625,0.6875,10,10,0.091625,0.05549749999999999,0.12737687500000003,10,10,0.0740625,0.051412500000000014,0.09672656249999999,10,10,0.091625,0.05692125000000002,0.12715562500000002,10,10,0.0740625,0.051550000000000006,0.0975634375,10,10,0.19355416666666667,0.18625395833333336,0.20079249999999998,10,10,0.22923333333333334,0.22000812499999997,0.23904229166666668,10,10
4,0.99,4,16,fixed_total,1.25e-05,0.0,3.7500000000000003e-05,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,-2.4414062500000004e-17,-7.324218750000001e-17,0.0,10,10,0.0,0.0,0.0,10,10,5e-05,0.0,0.00012500000000000003,10,10,5e-05,0.0,0.00012500000000000003,10,10,0.7499906249999999,0.749975,0.7500032031250001,10,10,0.9999708333333335,0.9999291666666666,1.0,10,10,0.9999625,0.999925,1.0,10,10,2.5e-05,0.0,6.25e-05,10,10,0.49998750000000003,0.4999625,0.5,10,10,0.3511,0.330724375,0.38482500000000003,10,10,0.49997500000000006,0.499925,0.5,10,10,0.3510875,0.33042499999999997,0.3850759375,10,10,0.49997500000000006,0.499925,0.5,10,10,0.3510875,0.331025,0.3850003125,10,10,2.9166666666666663e-05,4.166666666666667e-06,5.8333333333333326e-05,10,10,2.9166666666666663e-05,0.0,6.25e-05,10,10
4,0.99,4,16,per_fork_matched,0.00021250000000000002,7.500000000000001e-05,0.0003875,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,-4.738769531250001e-14,-1.2477355957031249e-13,-1.9531250000000003e-16,10,10,0.0001,0.0,0.00030000000000000003,10,10,0.00016250000000000002,3.7500000000000003e-05,0.0003375,10,10,0.00016250000000000002,3.7500000000000003e-05,0.0003375,10,10,0.7498999999999999,0.749815625,0.74996875,10,10,0.9998125,0.9996708333333334,0.9999334375000001,10,10,0.9996250000000002,0.9994,0.9998374999999999,10,10,0.00028750000000000005,0.00011250000000000001,0.0005250000000000001,10,10,0.5000875,0.5,0.5001875,10,10,0.355275,0.336249375,0.380453125,10,10,0.499875,0.49977499999999997,0.49997500000000006,10,10,0.35506249999999995,0.33587468750000005,0.37898874999999993,10,10,0.499875,0.49977499999999997,0.49997500000000006,10,10,0.35506249999999995,0.3359490625,0.3785509375,10,10,0.0004083333333333333,0.00015416666666666666,0.00075,10,10,0.00025,8.333333333333333e-05,0.00047500000000000005,10,10
4,0.99,4,64,fixed_total,0.00023750000000000003,0.00015000000000000001,0.00035,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,0.0,0.0,0.0,10,10,-1.97509765625e-14,-5.05950927734375e-14,-1.3427734375000005e-15,10,10,0.0006000000000000001,0.0002,0.0010500000000000002,10,10,0.0005000000000000001,0.0001875,0.0009500000000000001,10,10,0.0005000000000000001,0.0001875,0.0009250000000000001,10,10,0.749903125,0.749865625,0.749940625,10,10,0.9997041666666666,0.9995291666666667,0.9998416666666667,10,10,0.9995875,0.99935,0.999775,10,10,0.0002875,0.00015000000000000001,0.0005128125000000012,10,10,0.4999625,0.49978750000000005,0.5001249999999999,10,10,0.32647499999999996,0.3227,0.330250625,10,10,0.49972500000000003,0.49947500000000006,0.49990000000000007,10,10,0.3262375,0.322624375,0.3300253125,10,10,0.49972500000000003,0.499475,0.49990000000000007,10,10,0.3262375,0.322624375,0.330063125,10,10,0.0005708333333333333,0.00036250000000000003,0.0008583333333333333,10,10,0.0004333333333333334,0.0002875,0.0006041666666666667,10,10
4,0.99,4,64,per_fork_matched,0.007112500000000001,0.0047875,0.010125,10,10,5e-05,0.0,0.00015000000000000001,10,10,0.014953487812212205,0.0,0.04486046343663661,10,10,1.0010862499999997e-08,4.9611375e-10,2.35639225e-08,10,10,4.99899891375e-05,-1.6197410625e-08,0.000149986872988125,10,10,4.998795545109863e-05,-1.9471974725341797e-08,0.00014998435647888182,10,10,0.007750000000000002,0.0052499999999999995,0.01105,10,10,0.007312500000000001,0.005449999999999999,0.009537812500000001,10,10,0.007312500000000001,0.0054375,0.0095128125,10,10,0.74740625,0.7463717968749999,0.7482375,10,10,0.9941041666666667,0.9919083333333333,0.9957459375000002,10,10,0.9871624999999999,0.9823621875,0.9910628125000002,10,10,0.0083875,0.0064625,0.010899999999999998,10,10,0.4993125,0.4985246875,0.5000375000000001,10,10,0.33965,0.335549375,0.344325,10,10,0.4922000000000001,0.488999375,0.49482499999999996,10,10,0.33253750000000004,0.3291375,0.3361124999999999,10,10,0.4922000000000001,0.48884999999999995,0.49487500000000006,10,10,0.33253750000000004,0.329225,0.336050625,10,10,0.0116,0.008633229166666666,0.015596041666666668,10,10,0.009125,0.006479166666666666,0.012408333333333332,10,10
