inference_status,cohort,goal,stage,n_runs,events,run_event_fraction,median_observed_step,event_fraction_estimate,event_fraction_ci_low,event_fraction_ci_high,event_fraction_n_seeds,restricted_step_estimate,restricted_step_ci_low,restricted_step_ci_high,restricted_step_n_seeds
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Q,probe_generic,240,200,0.8333333333333334,45.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,20,1402.6,1399.9,1405.3501041666666,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Q,probe_selective,240,201,0.8375,33,0.8375000000000001,0.8333333333333334,0.8458333333333334,20,1363.033333333333,1292.7374999999997,1399.4499999999998,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Q,causal,240,159,0.6625,85,0.6624999999999999,0.6541666666666666,0.6666666666666665,20,2823.9999999999995,2788.5157291666665,2892.579479166666,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Q,behavior,240,158,0.6583333333333333,85.0,0.6583333333333332,0.6458333333333333,0.6666666666666665,20,2857.7791666666662,2789.204166666666,2958.771875,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Q,pure,240,158,0.6583333333333333,85.0,0.6583333333333332,0.6458333333333333,0.6666666666666665,20,2857.7791666666662,2789.2457291666665,2959.045833333333,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Y,solo,240,240,1.0,24.0,1.0,1.0,1.0,20,27.425,25.275,29.7,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Y,probe_generic,240,197,0.8208333333333333,418,0.8208333333333334,0.8083333333333333,0.8333333333333334,20,2016.975,1897.4001041666668,2159.5553124999997,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Y,probe_selective,240,199,0.8291666666666667,418,0.8291666666666668,0.8208333333333334,0.8333333333333334,20,1892.1875000000005,1815.4545833333334,1987.7324999999996,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Y,causal,240,153,0.6375,575,0.6375,0.6,0.675,20,3733.4541666666673,3521.6196875,3948.2068750000003,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Y,behavior,240,153,0.6375,575,0.6375,0.6,0.6749999999999999,20,3725.6416666666673,3512.537604166667,3946.854479166666,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,pooled,Y,pure,240,153,0.6375,575,0.6375,0.6,0.675,20,3735.7750000000005,3523.0664583333332,3948.2919791666664,20
