scope,q,k,factor,high,low,outcome,estimate,ci_low,ci_high,n_seeds,n_matched_cells
within_q_k,0.99,3,beta,0.1,0.0,rho_y,0.0,0.0,0.0,10,10
within_q_k,0.99,3,beta,0.1,0.0,intended_probability,-3.1019703086808645e-06,-9.164248318643924e-06,6.319118919711032e-07,10,10
within_q_k,0.99,3,beta,0.1,0.0,iid_accuracy,0.0,0.0,0.0,10,10
within_q_k,0.99,3,beta,0.1,0.0,intended_probability_auc,8.569465147703148e-06,-3.119992374012821e-06,1.8247556129578274e-05,10,10
within_q_k,0.99,3,beta,0.3,0.0,rho_y,0.0,0.0,0.0,10,10
within_q_k,0.99,3,beta,0.3,0.0,intended_probability,-2.563825204917416e-06,-8.585775250051709e-06,1.1563367758723145e-06,10,10
within_q_k,0.99,3,beta,0.3,0.0,iid_accuracy,0.0,0.0,0.0,10,10
within_q_k,0.99,3,beta,0.3,0.0,intended_probability_auc,3.775224218036349e-05,1.949912670838154e-05,5.4848315075600525e-05,10,10
within_q_k,0.99,4,beta,0.1,0.0,rho_y,0.0,0.0,0.0,10,10
within_q_k,0.99,4,beta,0.1,0.0,intended_probability,1.779023516605817e-06,3.8587204631930274e-07,3.2542666946464433e-06,10,10
within_q_k,0.99,4,beta,0.1,0.0,iid_accuracy,0.0,0.0,0.0,10,10
within_q_k,0.99,4,beta,0.1,0.0,intended_probability_auc,1.8751869413238374e-05,6.482235738315161e-06,2.9767358420374843e-05,10,10
within_q_k,0.99,4,beta,0.3,0.0,rho_y,0.0,0.0,0.0,10,10
within_q_k,0.99,4,beta,0.3,0.0,intended_probability,2.707372459742431e-06,-8.738054583613655e-07,8.703345612569928e-06,10,10
within_q_k,0.99,4,beta,0.3,0.0,iid_accuracy,0.0,0.0,0.0,10,10
within_q_k,0.99,4,beta,0.3,0.0,intended_probability_auc,4.570614476869569e-05,3.065330689107318e-05,6.118673756867735e-05,10,10
collapsed_primary_grid,all,all,beta,0.1,0.0,rho_y,0.029099166666666666,0.015649645833333333,0.042114562499999994,10,120
collapsed_primary_grid,all,all,beta,0.1,0.0,intended_probability,0.029078001650126507,0.015567996839270296,0.042811356917831715,10,120
collapsed_primary_grid,all,all,beta,0.1,0.0,iid_accuracy,0.006643749999999999,0.0028893229166666676,0.010544166666666665,10,120
collapsed_primary_grid,all,all,beta,0.1,0.0,intended_probability_auc,0.02869717956280952,0.02160318378674752,0.03608433309013504,10,120
collapsed_primary_grid,all,all,beta,0.3,0.0,rho_y,0.0559075,0.034142166666666675,0.07949702083333333,10,120
collapsed_primary_grid,all,all,beta,0.3,0.0,intended_probability,0.055871744523611024,0.03374180516844876,0.07974492174276919,10,120
collapsed_primary_grid,all,all,beta,0.3,0.0,iid_accuracy,0.017747916666666662,0.012970468749999992,0.022666979166666667,10,120
collapsed_primary_grid,all,all,beta,0.3,0.0,intended_probability_auc,0.0584929876272815,0.04219257750165764,0.07651986564668233,10,120
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,rho_y,0.05156000000000001,0.0,0.12582999999999997,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,iid_accuracy,0.005425000000000002,-4.999999999999449e-05,0.013575000000000004,10,10
canonical_arm_minus_actor_critic,0.9,3,arm,reinforce_full,actor_critic_full,rho_y,-0.025380000000000003,-0.10162,0.05056999999999999,10,10
