inference_status,q_only_error_count,design_panel,outcome,identified_seeds,estimate,ci_low,ci_high,seed_clusters,bootstrap_draws,count
adaptive_exploratory_posthoc_paired_support_intervention,6,triggered_refinement,"taxonomy:modal 113, unstable",20,0.05,0.0,0.15,20,4000,1
adaptive_exploratory_posthoc_paired_support_intervention,6,triggered_refinement,taxonomy:pure Y,20,0.55,0.35,0.75,20,4000,11
adaptive_exploratory_posthoc_paired_support_intervention,6,triggered_refinement,taxonomy:raw-codeword patch,20,0.3,0.1,0.5,20,4000,6
adaptive_exploratory_posthoc_paired_support_intervention,6,triggered_refinement,taxonomy:stable gate 113,20,0.1,0.0,0.25,20,4000,2
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,stable_gate,20,0.1,0.0,0.25,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,q_only_diagnostic_accuracy,20,0.7157899999999999,0.609274125,0.80800625,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,q_only_factorial_accuracy,20,0.71748046875,0.6108837890625,0.8105102539062501,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,q_only_target_probability,20,0.704458940763612,0.5958195844933425,0.7932345393793763,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,q_only_seen_accuracy,20,0.8816220238095239,0.7957575334821428,0.9495744977678571,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,q_only_seen_target_probability,20,0.8650096392514772,0.7820862028339571,0.9317719140327843,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,q_only_unseen_accuracy,20,0.6956202804964999,0.5832920621529577,0.7889528846361592,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,q_only_unseen_target_probability,20,0.6830845441136093,0.5767017932882634,0.7772440495201166,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,seen_minus_unseen_probability,20,0.1819250951378678,0.13128929162637895,0.23345964304792508,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,common_iid_target_accuracy,20,0.999925,0.9998374999999999,0.9999874999999999,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,active_codeword_coverage,20,0.1171875,0.11328125,0.12109375,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,behavior_P,20,0.429931640625,0.405615234375,0.45289398193359376,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,behavior_Q,20,0.57119140625,0.5482052612304688,0.598160400390625,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,behavior_Y,20,0.92880859375,0.902587890625,0.9517718505859375,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,causal_P,20,0.429547119140625,0.40458221435546876,0.45286300659179685,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,causal_Q,20,0.5710479736328125,0.54825439453125,0.5973416137695312,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,causal_Y,20,0.928681640625,0.9018745727539064,0.95208544921875,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,pure_Y,20,0.85,0.65,1.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,pure_Q,20,0.0,0.0,0.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,pure_P,20,0.0,0.0,0.0,20,4000,
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,taxonomy:other semantic rule,20,0.05,0.0,0.15,20,4000,1
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,taxonomy:pure Y,20,0.85,0.7,1.0,20,4000,17
adaptive_exploratory_posthoc_paired_support_intervention,8,triggered_refinement,taxonomy:stable gate 113,20,0.1,0.0,0.25,20,4000,2
