inference_status,contrast_status,q,k,cell_label,effect,formula,outcome,estimate,ci_low,ci_high,n_seeds,n_pairs
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,boundary_exact_hard_flip,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,boundary_exact_probability_ate,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,final_proxy_hard_flip,-0.16802,-0.22271000000000002,-0.11191700000000004,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,final_proxy_probability_ate,-0.16791982805877606,-0.2220898771689179,-0.10759292855807814,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,final_exact_hard_flip,0.16802,0.11159925,0.222931,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,final_exact_probability_ate,-0.1679085080876538,-0.22204897594286138,-0.107144491070033,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,proxy_hard_flip_change,-0.16802,-0.2237705,-0.10847400000000003,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,exact_hard_flip_change,0.16802,0.11153675,0.22346025,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,proxy_probability_ate_change,-0.16791982805877606,-0.2228694932270347,-0.11111485749689635,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,exact_probability_ate_change,-0.16790850808765384,-0.22251011985236813,-0.10739924326033708,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,actor_l2_from_boundary,2.716899964719869,1.3284923295220967,4.063653509252304,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,actor_relative_l2_from_boundary,0.30261162126346564,0.1486158727041438,0.4520987006684836,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,critic_l2_from_boundary,-1.1629929043085538,-2.08128526928211,-0.42638358426511463,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,critic_relative_l2_from_boundary,-0.09862452437737976,-0.17709580393292382,-0.03614606762917833,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,phase_b_critic_loss_log_grid_mean,-0.009580059160852934,-0.01933437472343069,-0.00288994280425773,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,phase_b_critic_loss_final_logged,-1.1220138276257785e-06,-1.3470118217355775e-05,1.168086252050671e-05,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,final_quantization_abs_residual,0.002170000000000001,0.0005699999999999997,0.003760000000000004,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_zero,1*delayed_carry + -1*zero_zero,final_within_0_01_of_interaction_plateau,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,final_rho_y,0.46123000000000003,0.28544925,0.6619010000000001,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,final_intended_probability,0.46101709178894695,0.27996255736440423,0.6619918160073963,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,phase_b_rho_y_area,801.947205,532.3663220000001,1147.1843130000002,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,phase_b_mean_rho_y,0.4042072605846774,0.2475262439516129,0.5703616391129033,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,crossing_observed,0.3,0.0,0.6,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,restricted_crossing_phase_b_updates,-467.2,-934.4,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,final_iid_accuracy,0.11564999999999999,0.07117187500000001,0.16809999999999997,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,final_iid_reward,0.11564999999999999,0.07127187499999998,0.16552625,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,final_policy_entropy,0.001028622453328335,0.00031656592011064814,0.0020994529990174546,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,boundary_rho_y,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,boundary_policy_entropy,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,boundary_proxy_hard_flip,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,boundary_proxy_probability_ate,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,boundary_exact_hard_flip,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,boundary_exact_probability_ate,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,final_proxy_hard_flip,-0.46123000000000003,-0.66177075,-0.28540725,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,final_proxy_probability_ate,-0.461047196996598,-0.6734404438797191,-0.2911805927078704,10,10
exploratory_post_hoc_boundary_specific,unregistered_post_hoc_factorial_decomposition,0.75,4,responsive boundary,phase_B_effect_when_phase_A_high,1*high_high + -1*early_only,final_exact_hard_flip,0.46123000000000003,0.2792375,0.6741047499999999,10,10
