run_id,seed,route_depth,q,k,width,regime,steps,iid_branch_accuracy,iid_full_route_success,branch_accuracy,full_route_success,effective_per_fork_success,independent_prediction,pooled_independent_prediction,compounding_gap,pooled_compounding_gap,proxy_branch_agreement,first_divergence_mean,single_conflict_branch_accuracy,single_conflict_conflicted_stage_accuracy,single_conflict_overall_branch_accuracy,single_conflict_nonconflicted_stage_accuracy,single_conflict_full_route_success,address_reversed_branch_accuracy,address_removed_branch_accuracy,address_reversed_delta,address_removed_delta,address_reversed_abs_delta,address_removed_abs_delta,proxy_flip_rate,rule_flip_rate,proxy_spillover,rule_spillover,physical_success,physical_branch_accuracy,physical_collision_rate,physical_matches_vectorized,first_divergence_rate_0,first_divergence_rate_1,first_divergence_rate_2,first_divergence_rate_3,first_divergence_rate_4
5aa68e2cd5d305246502,101,1,0.75,2,64,fixed_total,1024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,1.0,,,
5aa8152ab0d57ab1f873,101,1,0.95,2,64,per_fork_matched,1024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,1.0,,,
5ac67d28c849696901d9,101,2,0.95,4,64,per_fork_matched,2048,1.0,1.0,0.98575,0.9715,0.9856469956328179,0.9715,0.9717030625,0.0,-0.00020306250000001747,0.01425,1.9715,1.0,1.0,1.0,1.0,1.0,0.51425,0.75,-0.47150000000000003,-0.23575000000000002,0.47150000000000003,0.23575000000000002,0.01425,0.98575,0.01425,0.01425,0.984375,0.9921875,0.0,1,0.0,0.0285,0.9715,,
5b07c112a30213471f8f,101,1,0.75,4,16,per_fork_matched,1024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,1.0,,,
5b2b08b56d5a49f4e1d6,41,1,0.95,2,64,fixed_total,1024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,1.0,,,
5b3c28f5b51c446048fb,41,4,0.75,4,64,per_fork_matched,4096,0.9995,0.998,0.997625,0.9905,0.997616491866371,0.9905192373776252,0.9905337901958791,-1.9237377625103136e-05,-3.379019587901322e-05,0.002375,3.9855,0.9984999999999999,0.9984999999999999,0.9995625,0.9999166666666667,0.99825,0.500875,0.659,-0.49675,-0.33862499999999995,0.49675,0.33862499999999995,0.002125,0.9970000000000001,0.00275,0.0031666666666666666,0.9765625,0.994140625,0.0,1,0.0005,0.0015,0.0005,0.007,0.9905
5b4eaca8448cd24ac52e,101,2,0.95,2,64,per_fork_matched,2048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,-0.5,-0.25,0.5,0.25,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,0.0,1.0,,
5b60f347bc252a0957ef,23,2,0.95,4,16,per_fork_matched,2048,0.95,0.903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.25,0.5,0.25,0.5,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,,
5b6b2f12d5f19db0f3b4,97,1,0.99,2,64,per_fork_matched,1024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0.0,1.0,,,
5bac2f8c5fc5dbb2bb0c,71,4,0.99,2,64,fixed_total,1024,0.99475,0.979,0.4625,0.1135,0.5804288160993218,0.045024352581,0.04575588378906251,0.068475647419,0.0677441162109375,0.5375,0.973,0.49862500000000004,0.49862500000000004,0.8653437500000001,0.9875833333333334,0.476875,0.72275,0.6585,0.26025,0.19599999999999995,0.26025,0.19599999999999995,0.38125,0.30675,0.19095833333333334,0.23470833333333335,0.0859375,0.435546875,0.0,1,0.599,0.1235,0.0965,0.0675,0.1135
