inference_status,q,k,cell_label,high_schedule,low_schedule,contrast,outcome,primary_endpoint,estimate,ci_low,ci_high,n_seeds,n_pairs
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,critic_l2_from_boundary,0,0.8395468605356158,0.24386677975266965,1.5003862592674748,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,critic_relative_l2_from_boundary,0,0.07141273871809059,0.017970956439361224,0.12868645516595814,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,phase_b_critic_loss_log_grid_mean,0,0.008318113430379368,0.002897077791359787,0.015589071771476823,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,phase_b_critic_loss_final_logged,0,-4.7206760882545495e-06,-1.6084730963257246e-05,6.951806898314318e-06,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,final_quantization_abs_residual,0,-0.0028100000000000013,-0.003990000000000002,-0.0016200000000000012,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,early_only,delayed_carry,early-only - delayed,final_within_0_01_of_interaction_plateau,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,final_rho_y,1,0.46123000000000003,0.280146,0.66807075,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,final_intended_probability,0,0.46101709178894695,0.2852249962148402,0.6615743426849922,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,phase_b_rho_y_area,0,801.947205,511.270219,1131.1573960000003,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,phase_b_mean_rho_y,0,0.4042072605846774,0.26515516966985886,0.5769302464717742,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,crossing_observed,0,0.3,0.0,0.6,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,restricted_crossing_phase_b_updates,0,-467.2,-934.4,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,final_iid_accuracy,0,0.11564999999999999,0.071148125,0.165975625,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,final_iid_reward,0,0.11564999999999999,0.07241999999999997,0.168101875,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,final_policy_entropy,0,0.001028622453328335,0.0003161222550422824,0.002104095672254895,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,boundary_rho_y,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,boundary_policy_entropy,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,boundary_proxy_hard_flip,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,boundary_proxy_probability_ate,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,boundary_exact_hard_flip,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,boundary_exact_probability_ate,0,0.0,0.0,0.0,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,final_proxy_hard_flip,0,-0.46123000000000003,-0.6676415000000001,-0.27895925,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,final_proxy_probability_ate,0,-0.461047196996598,-0.6677416621478206,-0.2800104012187792,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,final_exact_hard_flip,0,0.46123000000000003,0.27913725000000006,0.66800125,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,final_exact_probability_ate,0,-0.4609847740096146,-0.667010176795014,-0.286059039274855,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,proxy_hard_flip_change,0,-0.46123000000000003,-0.66843175,-0.279937,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,exact_hard_flip_change,0,0.46123000000000003,0.28623824999999997,0.66800175,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,proxy_probability_ate_change,0,-0.461047196996598,-0.6680882704823796,-0.27893541877827827,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,exact_probability_ate_change,0,-0.46098477400961446,-0.6619710173519099,-0.28518934121370115,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,actor_l2_from_boundary,0,4.331332331067028,2.9008017062105167,5.695921876635814,10,10
exploratory_post_hoc_boundary_specific,0.75,4,responsive boundary,high_high,early_only,continuous - early-only,actor_relative_l2_from_boundary,0,0.5208992334286002,0.34533522950048223,0.6882242844235094,10,10
