seed,washout_offset,hamming_dispersion,signed_recency_margin,probability_dispersion,candidate_control_vector_dispersion,P_last_minus_first_margin,Q_last_minus_first_margin,Y_last_minus_first_margin
587,9,0.4,1.0,0.3993058389586883,0.2666666666666667,1.0,1.0,1.0
587,13,0.4,1.0,0.3989641378402519,0.2666666666666667,1.0,1.0,1.0
587,17,0.4,1.0,0.39858757312332765,0.2666666666666667,1.0,1.0,1.0
587,24,0.4,1.0,0.39791640276557605,0.2666666666666667,1.0,1.0,1.0
587,33,0.4,1.0,0.3971452748858703,0.2666666666666667,1.0,1.0,1.0
587,45,0.4,1.0,0.3963826127074744,0.2666666666666667,1.0,1.0,1.0
587,62,0.4,1.0,0.39565291114832307,0.2666666666666667,1.0,1.0,1.0
587,85,0.396875,0.9895833333333334,0.3949959181111592,0.26631944444444444,1.0,0.984375,0.984375
587,117,0.396875,0.9895833333333334,0.3943472591741797,0.26631944444444444,1.0,0.984375,0.984375
587,128,0.396875,0.9895833333333334,0.3941324709818316,0.26631944444444444,1.0,0.984375,0.984375
587,161,0.396875,0.9895833333333334,0.3935075329617829,0.26631944444444444,1.0,0.984375,0.984375
587,222,0.396875,0.9895833333333334,0.3922767811173387,0.26631944444444444,1.0,0.984375,0.984375
587,256,0.396875,0.9895833333333334,0.39157298887735936,0.26631944444444444,1.0,0.984375,0.984375
593,0,0.4,1.0,0.39974802346361127,0.2666666666666667,1.0,1.0,1.0
593,1,0.4,1.0,0.39949847601156147,0.2666666666666667,1.0,1.0,1.0
593,2,0.4,1.0,0.3993889376746264,0.2666666666666667,1.0,1.0,1.0
593,3,0.4,1.0,0.39930380194086723,0.2666666666666667,1.0,1.0,1.0
593,4,0.4,1.0,0.3991988636250203,0.2666666666666667,1.0,1.0,1.0
593,5,0.4,1.0,0.3990749730864485,0.2666666666666667,1.0,1.0,1.0
593,7,0.4,1.0,0.39875721921445156,0.2666666666666667,1.0,1.0,1.0
593,9,0.4,1.0,0.39833458807648253,0.2666666666666667,1.0,1.0,1.0
593,13,0.4,1.0,0.397234158829691,0.2666666666666667,1.0,1.0,1.0
593,17,0.4,1.0,0.39599708414108953,0.2666666666666667,1.0,1.0,1.0
593,24,0.4,1.0,0.39394248729634906,0.2666666666666667,1.0,1.0,1.0
593,33,0.4,1.0,0.3918323874959641,0.2666666666666667,1.0,1.0,1.0
593,45,0.4,1.0,0.39015388056781075,0.2666666666666667,1.0,1.0,1.0
593,62,0.4,1.0,0.3889083666559551,0.2666666666666667,1.0,1.0,1.0
593,85,0.4,1.0,0.3877013202623968,0.2666666666666667,1.0,1.0,1.0
593,117,0.4,1.0,0.3859536969540448,0.2666666666666667,1.0,1.0,1.0
593,128,0.4,1.0,0.38541809367230256,0.2666666666666667,1.0,1.0,1.0
593,161,0.4,1.0,0.3837744217317922,0.2666666666666667,1.0,1.0,1.0
593,222,0.4,1.0,0.38092500325772527,0.2666666666666667,1.0,1.0,1.0
593,256,0.4,1.0,0.3793990364880493,0.2666666666666667,1.0,1.0,1.0
599,0,0.4,1.0,0.39987611455788047,0.2666666666666667,1.0,1.0,1.0
599,1,0.4,1.0,0.3997850354560653,0.2666666666666667,1.0,1.0,1.0
599,2,0.4,1.0,0.3997502516559658,0.2666666666666667,1.0,1.0,1.0
599,3,0.4,1.0,0.3997202731351694,0.2666666666666667,1.0,1.0,1.0
599,4,0.4,1.0,0.39968492871418265,0.2666666666666667,1.0,1.0,1.0
599,5,0.4,1.0,0.3996513782836392,0.2666666666666667,1.0,1.0,1.0
599,7,0.4,1.0,0.3995842765710307,0.2666666666666667,1.0,1.0,1.0
599,9,0.4,1.0,0.3995135136121435,0.2666666666666667,1.0,1.0,1.0
599,13,0.4,1.0,0.39935855447961244,0.2666666666666667,1.0,1.0,1.0
599,17,0.4,1.0,0.3991925979704903,0.2666666666666667,1.0,1.0,1.0
599,24,0.4,1.0,0.39889422434630645,0.2666666666666667,1.0,1.0,1.0
599,33,0.4,1.0,0.3985751111176372,0.2666666666666667,1.0,1.0,1.0
599,45,0.4,1.0,0.398292170507072,0.2666666666666667,1.0,1.0,1.0
599,62,0.4,1.0,0.3980213967599236,0.2666666666666667,1.0,1.0,1.0
599,85,0.4,1.0,0.39768347659752395,0.2666666666666667,1.0,1.0,1.0
599,117,0.4,1.0,0.3971666248960676,0.2666666666666667,1.0,1.0,1.0
599,128,0.4,1.0,0.3969654954014468,0.2666666666666667,1.0,1.0,1.0
599,161,0.4,1.0,0.39627157580167693,0.2666666666666667,1.0,1.0,1.0
599,222,0.4,1.0,0.3951842913117138,0.2666666666666667,1.0,1.0,1.0
599,256,0.4,1.0,0.3946144916766687,0.2666666666666667,1.0,1.0,1.0
601,0,0.4,1.0,0.3999302143941564,0.2666666666666667,1.0,1.0,1.0
601,1,0.4,1.0,0.3996985700531811,0.2666666666666667,1.0,1.0,1.0
601,2,0.4,1.0,0.3996150254769109,0.2666666666666667,1.0,1.0,1.0
601,3,0.4,1.0,0.39955805856876797,0.2666666666666667,1.0,1.0,1.0
601,4,0.4,1.0,0.39947562063885683,0.2666666666666667,1.0,1.0,1.0
601,5,0.4,1.0,0.3993655031937431,0.2666666666666667,1.0,1.0,1.0
601,7,0.4,1.0,0.39912683053484066,0.2666666666666667,1.0,1.0,1.0
601,9,0.4,1.0,0.3988247887706859,0.2666666666666667,1.0,1.0,1.0
601,13,0.4,1.0,0.3978996559402941,0.2666666666666667,1.0,1.0,1.0
601,17,0.4,1.0,0.39683718890839337,0.2666666666666667,1.0,1.0,1.0
601,24,0.4,1.0,0.3955461968190084,0.2666666666666667,1.0,1.0,1.0
601,33,0.4,1.0,0.39472852011629134,0.2666666666666667,1.0,1.0,1.0
601,45,0.4,1.0,0.39404134704190036,0.2666666666666667,1.0,1.0,1.0
601,62,0.4,1.0,0.3930297072917935,0.2666666666666667,1.0,1.0,1.0
601,85,0.4,1.0,0.3914009270523062,0.2666666666666667,1.0,1.0,1.0
601,117,0.396875,0.9895833333333334,0.38968392685110465,0.2663194444444445,0.984375,0.984375,1.0
601,128,0.396875,0.9895833333333334,0.3892116494307787,0.2663194444444445,0.984375,0.984375,1.0
601,161,0.396875,0.9895833333333334,0.38801301848052344,0.2663194444444445,0.984375,0.984375,1.0
601,222,0.39375,0.9791666666666666,0.385406510491308,0.2652777777777778,0.984375,0.96875,0.984375
601,256,0.39375,0.9791666666666666,0.38405573844475543,0.2652777777777778,0.984375,0.96875,0.984375
607,0,0.4,1.0,0.39982013361695884,0.2666666666666667,1.0,1.0,1.0
607,1,0.4,1.0,0.39967059456652015,0.2666666666666667,1.0,1.0,1.0
607,2,0.4,1.0,0.3995672143929172,0.2666666666666667,1.0,1.0,1.0
607,3,0.4,1.0,0.39950811761823213,0.2666666666666667,1.0,1.0,1.0
607,4,0.4,1.0,0.399424559692764,0.2666666666666667,1.0,1.0,1.0
607,5,0.4,1.0,0.3993190707463021,0.2666666666666667,1.0,1.0,1.0
607,7,0.4,1.0,0.3990610207092755,0.2666666666666667,1.0,1.0,1.0
607,9,0.4,1.0,0.39872355198838483,0.2666666666666667,1.0,1.0,1.0
607,13,0.4,1.0,0.3978596418755682,0.2666666666666667,1.0,1.0,1.0
607,17,0.4,1.0,0.39692908769625806,0.2666666666666667,1.0,1.0,1.0
607,24,0.4,1.0,0.39552849223240966,0.2666666666666667,1.0,1.0,1.0
607,33,0.4,1.0,0.3942951763260952,0.2666666666666667,1.0,1.0,1.0
607,45,0.4,1.0,0.3932958280471045,0.2666666666666667,1.0,1.0,1.0
607,62,0.4,1.0,0.39249155384890394,0.2666666666666667,1.0,1.0,1.0
607,85,0.4,1.0,0.3916795542215645,0.2666666666666667,1.0,1.0,1.0
607,117,0.4,1.0,0.39067583179808707,0.2666666666666667,1.0,1.0,1.0
607,128,0.4,1.0,0.39034508498092696,0.2666666666666667,1.0,1.0,1.0
607,161,0.4,1.0,0.38936006810958135,0.2666666666666667,1.0,1.0,1.0
607,222,0.4,1.0,0.38754570788452936,0.2666666666666667,1.0,1.0,1.0
607,256,0.4,1.0,0.38653842283874945,0.2666666666666667,1.0,1.0,1.0
613,0,0.4,1.0,0.39994225181344045,0.2666666666666667,1.0,1.0,1.0
613,1,0.4,1.0,0.3998681053327851,0.2666666666666667,1.0,1.0,1.0
613,2,0.4,1.0,0.39980442093447077,0.2666666666666667,1.0,1.0,1.0
613,3,0.4,1.0,0.3997465609957601,0.2666666666666667,1.0,1.0,1.0
613,4,0.4,1.0,0.3996939107932462,0.2666666666666667,1.0,1.0,1.0
613,5,0.4,1.0,0.39964448383616613,0.2666666666666667,1.0,1.0,1.0
613,7,0.4,1.0,0.399548806825482,0.2666666666666667,1.0,1.0,1.0
613,9,0.4,1.0,0.39943853035187177,0.2666666666666667,1.0,1.0,1.0
613,13,0.4,1.0,0.3991702864013715,0.2666666666666667,1.0,1.0,1.0
613,17,0.4,1.0,0.3988559375667142,0.2666666666666667,1.0,1.0,1.0
613,24,0.4,1.0,0.39827490724429165,0.2666666666666667,1.0,1.0,1.0
613,33,0.4,1.0,0.39762542080674546,0.2666666666666667,1.0,1.0,1.0
613,45,0.4,1.0,0.3970581779506141,0.2666666666666667,1.0,1.0,1.0
