arm,q,k,beta,rho_y_estimate,rho_y_ci_low,rho_y_ci_high,rho_y_n_seeds,rho_y_n_cells,intended_probability_estimate,intended_probability_ci_low,intended_probability_ci_high,intended_probability_n_seeds,intended_probability_n_cells,iid_accuracy_estimate,iid_accuracy_ci_low,iid_accuracy_ci_high,iid_accuracy_n_seeds,iid_accuracy_n_cells,final_policy_entropy_estimate,final_policy_entropy_ci_low,final_policy_entropy_ci_high,final_policy_entropy_n_seeds,final_policy_entropy_n_cells,intended_probability_auc_estimate,intended_probability_auc_ci_low,intended_probability_auc_ci_high,intended_probability_auc_n_seeds,intended_probability_auc_n_cells,acquisition_observed_estimate,acquisition_observed_ci_low,acquisition_observed_ci_high,acquisition_observed_n_seeds,acquisition_observed_n_cells,proxy_flip_rate_estimate,proxy_flip_rate_ci_low,proxy_flip_rate_ci_high,proxy_flip_rate_n_seeds,proxy_flip_rate_n_cells,exact_flip_rate_estimate,exact_flip_rate_ci_low,exact_flip_rate_ci_high,exact_flip_rate_n_seeds,exact_flip_rate_n_cells,reliably_intended_seeds,reliably_intended_cell
actor_critic_full,0.5,3,0.1,1.0,1.0,1.0,10,10,0.9999357202395232,0.9998376379162557,0.9999895783973788,10,10,0.9999750000000001,0.999925,1.0,10,10,0.0005222796240559546,0.00011388855557925127,0.0012089577014558017,10,10,0.9862436505067954,0.9857536543056707,0.9867997295911194,10,10,1.0,1.0,1.0,10,10,0.00011999999999999999,0.0,0.00035999999999999997,10,10,0.9999600000000001,0.9998799999999999,1.0,10,10,10,1
actor_critic_full,0.5,3,0.3,1.0,1.0,1.0,10,10,0.9998523037009223,0.9995667904287958,0.9999970790900666,10,10,1.0,1.0,1.0,10,10,0.0009097147788452275,4.8238386079901835e-05,0.0025548199513082182,10,10,0.9862332466109324,0.9856625966387422,0.9868510917265532,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.5,4,0.0,0.9383100000000001,0.9006282500000001,0.9754400000000001,10,10,0.9382557978519891,0.90008672595567,0.9751344727308378,10,10,0.9373250000000001,0.8946500000000001,0.9743275000000001,10,10,0.00037183497161095145,0.0001738926151983833,0.0005905217868098589,10,10,0.9183406230703405,0.8828943576022108,0.9534729665447553,10,10,0.7,0.4,0.9025000000000091,10,10,0.0,0.0,0.0,10,10,0.8756774999999999,0.7998083749999999,0.95069,10,10,7,0
actor_critic_full,0.5,4,0.003,0.9443199999999999,0.91265,0.97571,10,10,0.9442918351466755,0.9122559367465308,0.975636765768831,10,10,0.9437,0.9117699999999999,0.9752025000000001,10,10,0.00027122263054479845,9.320352090071538e-05,0.00046990929758976567,10,10,0.9237089129262568,0.8936336414042663,0.9534601557292285,10,10,0.7,0.4,1.0,10,10,0.0,0.0,0.0,10,10,0.88799,0.8248163749999999,0.9506824999999999,10,10,7,0
actor_critic_full,0.5,4,0.01,0.9383100000000001,0.9007397500000001,0.97544125,10,10,0.9382869595290113,0.900384575457379,0.9753956905640531,10,10,0.9373250000000001,0.8980499999999999,0.97395,10,10,0.00018504934687371132,0.00012037065614094899,0.00025775641051950515,10,10,0.9184502843426706,0.8784418468378896,0.9536209470808199,10,10,0.7,0.4,1.0,10,10,0.0,0.0,0.0,10,10,0.8756774999999999,0.7996838749999999,0.9503999999999999,10,10,7,0
actor_critic_full,0.5,4,0.03,0.9440799999999999,0.9006900000000002,0.98148,10,10,0.9439123275348331,0.9006188779074856,0.9813010306777941,10,10,0.943575,0.899623125,0.98225,10,10,0.0007024752951110714,0.0002981718885348528,0.0013475180678869949,10,10,0.923100442899543,0.8826274418898732,0.9581572035090616,10,10,0.7,0.4,1.0,10,10,0.0,0.0,0.0,10,10,0.8877875,0.8000424375,0.9628525,10,10,7,0
actor_critic_full,0.5,4,0.1,0.96222,0.93082,0.99361,10,10,0.9620724223863084,0.9304714984205623,0.9874026900271136,10,10,0.9631000000000001,0.93165,0.9887,10,10,0.0005442239045805764,0.0003019116906216368,0.0008246235594015162,10,10,0.9408841516619727,0.911086598363538,0.9703205948510308,10,10,0.8,0.5,1.0,10,10,0.0,0.0,0.0,10,10,0.9247075,0.8616223749999999,0.975055,10,10,8,1
actor_critic_full,0.5,4,0.3,0.9872500000000001,0.9683400000000001,1.0,10,10,0.9870854270705332,0.9682863006037877,0.9999701990850757,10,10,0.98855,0.9714750000000001,1.0,10,10,0.0010170528417802415,0.0002566952301276615,0.0022126215148091434,10,10,0.9643506656332109,0.9461957533257147,0.9768008301934407,10,10,1.0,1.0,1.0,10,10,5.9999999999999995e-05,0.0,0.00017999999999999998,10,10,0.9747399999999999,0.9370650000000001,1.0,10,10,10,1
actor_critic_full,0.75,2,0.0,1.0,1.0,1.0,10,10,0.9999900127611404,0.9999847743111681,0.9999946453953852,10,10,1.0,1.0,1.0,10,10,5.448301963042468e-05,2.0746722479998426e-05,0.00010001829237126006,10,10,0.9771913605674072,0.9741106913200672,0.9801605929126714,10,10,1.0,1.0,1.0,10,10,0.0,0.0,0.0,10,10,1.0,1.0,1.0,10,10,10,1
actor_critic_full,0.75,2,0.003,0.99989,0.9996700000000001,1.0,10,10,0.9997020021121117,0.9992295562218058,0.9999918679048799,10,10,0.9999750000000001,0.999925,1.0,10,10,0.00040590078342575,4.262070533286533e-05,0.0009140622969744074,10,10,0.977354288966289,0.9742601099202229,0.980264330747888,10,10,1.0,1.0,1.0,10,10,0.00011,0.0,0.00033,10,10,0.99989,0.9996700000000001,1.0,10,10,10,1
