quantity,seed,value
postedit_restore_sham_P_causal,491,-0.0013427734375
postedit_restore_sham_P_causal,499,-0.0052490234375
postedit_restore_sham_P_causal,503,-0.0096435546875
postedit_restore_sham_P_causal,509,-0.0072021484375
postedit_restore_sham_P_causal,521,-0.00732421875
postedit_restore_sham_P_causal,523,-0.0047607421875
postedit_restore_sham_selective_P,409,0.00439453125
postedit_restore_sham_selective_P,419,0.01416015625
postedit_restore_sham_selective_P,421,0.0087890625
postedit_restore_sham_selective_P,431,0.01513671875
postedit_restore_sham_selective_P,433,0.004638671875
postedit_restore_sham_selective_P,439,0.01123046875
postedit_restore_sham_selective_P,443,0.00341796875
postedit_restore_sham_selective_P,449,-0.004150390625
postedit_restore_sham_selective_P,457,0.0009765625
postedit_restore_sham_selective_P,461,-0.01171875
postedit_restore_sham_selective_P,463,-0.001708984375
postedit_restore_sham_selective_P,467,0.013916015625
postedit_restore_sham_selective_P,479,0.0078125
postedit_restore_sham_selective_P,487,0.006591796875
postedit_restore_sham_selective_P,491,0.002197265625
postedit_restore_sham_selective_P,499,0.0078125
postedit_restore_sham_selective_P,503,-0.002197265625
postedit_restore_sham_selective_P,509,-0.00341796875
postedit_restore_sham_selective_P,521,0.0166015625
postedit_restore_sham_selective_P,523,0.00634765625
postedit_restore_sham_selective_Y,409,-0.000244140625
postedit_restore_sham_selective_Y,419,0.0048828125
postedit_restore_sham_selective_Y,421,-0.0068359375
postedit_restore_sham_selective_Y,431,0.01513671875
postedit_restore_sham_selective_Y,433,0.01953125
postedit_restore_sham_selective_Y,439,0.003173828125
postedit_restore_sham_selective_Y,443,0.00146484375
postedit_restore_sham_selective_Y,449,-0.003173828125
postedit_restore_sham_selective_Y,457,-0.0068359375
postedit_restore_sham_selective_Y,461,-0.005126953125
postedit_restore_sham_selective_Y,463,0.003173828125
postedit_restore_sham_selective_Y,467,0.01513671875
postedit_restore_sham_selective_Y,479,0.012451171875
postedit_restore_sham_selective_Y,487,-0.01220703125
postedit_restore_sham_selective_Y,491,0.00244140625
postedit_restore_sham_selective_Y,499,-0.001220703125
postedit_restore_sham_selective_Y,503,-0.006103515625
postedit_restore_sham_selective_Y,509,0.000732421875
postedit_restore_sham_selective_Y,521,0.01220703125
postedit_restore_sham_selective_Y,523,-0.011962890625
postedit_transplant_active_selective_Q,409,0.09033203125
postedit_transplant_active_selective_Q,419,0.08837890625
postedit_transplant_active_selective_Q,421,0.08349609375
postedit_transplant_active_selective_Q,431,0.072509765625
postedit_transplant_active_selective_Q,433,0.0888671875
postedit_transplant_active_selective_Q,439,0.07568359375
postedit_transplant_active_selective_Q,443,0.05712890625
postedit_transplant_active_selective_Q,449,0.074462890625
postedit_transplant_active_selective_Q,457,0.06298828125
postedit_transplant_active_selective_Q,461,0.05419921875
postedit_transplant_active_selective_Q,463,0.073974609375
postedit_transplant_active_selective_Q,467,0.110595703125
postedit_transplant_active_selective_Q,479,0.06982421875
postedit_transplant_active_selective_Q,487,0.060546875
postedit_transplant_active_selective_Q,491,0.060546875
postedit_transplant_active_selective_Q,499,0.06494140625
postedit_transplant_active_selective_Q,503,0.07568359375
postedit_transplant_active_selective_Q,509,0.080810546875
postedit_transplant_active_selective_Q,521,0.068115234375
postedit_transplant_active_selective_Q,523,0.08935546875
postedit_transplant_active_P_behavior,409,-0.000244140625
postedit_transplant_active_P_behavior,419,0.0
postedit_transplant_active_P_behavior,421,-0.000244140625
postedit_transplant_active_P_behavior,431,-0.000244140625
postedit_transplant_active_P_behavior,433,-0.000244140625
postedit_transplant_active_P_behavior,439,-0.000244140625
postedit_transplant_active_P_behavior,443,0.0
postedit_transplant_active_P_behavior,449,0.0
postedit_transplant_active_P_behavior,457,0.0
postedit_transplant_active_P_behavior,461,0.0
postedit_transplant_active_P_behavior,463,-0.000732421875
postedit_transplant_active_P_behavior,467,0.0
postedit_transplant_active_P_behavior,479,0.0
postedit_transplant_active_P_behavior,487,0.0
postedit_transplant_active_P_behavior,491,0.0
