inference_status,seed,cohort,left_count,right_count,gate_transition,stable_gate_difference,q_only_target_probability_difference,q_only_diagnostic_accuracy_difference,gate_reversals_across_all_counts,probability_reversals_across_all_counts,material_probability_reversals_across_all_counts,first_stable_gate_loss_count
adaptive_exploratory_posthoc_paired_support_intervention,113,fresh,0,2,1->0,-1,0.4845446862232986,0.5105999999999999,0,4,0,2
adaptive_exploratory_posthoc_paired_support_intervention,113,fresh,2,4,0->0,0,-0.0009851940702269024,-0.009099999999999997,0,4,0,2
adaptive_exploratory_posthoc_paired_support_intervention,113,fresh,4,6,0->0,0,0.2930708212515506,0.31089999999999995,0,4,0,2
adaptive_exploratory_posthoc_paired_support_intervention,113,fresh,6,8,0->0,0,0.019209788687613027,0.015199999999999991,0,4,0,2
adaptive_exploratory_posthoc_paired_support_intervention,113,fresh,8,10,0->0,0,0.014877813784165639,0.005900000000000016,0,4,0,2
adaptive_exploratory_posthoc_paired_support_intervention,113,fresh,10,50,0->0,0,0.015055853022589272,0.0038000000000000256,0,4,0,2
adaptive_exploratory_posthoc_paired_support_intervention,113,fresh,50,100,0->0,0,-2.7831786773235834e-05,0.0,0,4,0,2
adaptive_exploratory_posthoc_paired_support_intervention,113,fresh,100,250,0->0,0,-0.002104442798666173,-0.00039999999999995595,0,4,0,2
adaptive_exploratory_posthoc_paired_support_intervention,113,fresh,250,450,0->0,0,-0.0021518030097426033,-0.0015000000000000568,0,4,0,2
adaptive_exploratory_posthoc_paired_support_intervention,127,fresh,0,2,1->1,0,-0.014733674363139557,-0.0092,0,3,2,50
adaptive_exploratory_posthoc_paired_support_intervention,127,fresh,2,4,1->1,0,0.08493268919242157,0.081,0,3,2,50
adaptive_exploratory_posthoc_paired_support_intervention,127,fresh,4,6,1->1,0,0.021170646025815462,0.011699999999999988,0,3,2,50
adaptive_exploratory_posthoc_paired_support_intervention,127,fresh,6,8,1->1,0,0.08556253537132669,0.0979,0,3,2,50
adaptive_exploratory_posthoc_paired_support_intervention,127,fresh,8,10,1->1,0,-0.055166850551451097,-0.045399999999999996,0,3,2,50
adaptive_exploratory_posthoc_paired_support_intervention,127,fresh,10,50,1->0,-1,0.6619957733749366,0.6692,0,3,2,50
adaptive_exploratory_posthoc_paired_support_intervention,127,fresh,50,100,0->0,0,0.16904396960374612,0.15859999999999996,0,3,2,50
adaptive_exploratory_posthoc_paired_support_intervention,127,fresh,100,250,0->0,0,-0.3914869870454972,-0.4110999999999999,0,3,2,50
adaptive_exploratory_posthoc_paired_support_intervention,127,fresh,250,450,0->0,0,0.2975178909721191,0.32909999999999995,0,3,2,50
adaptive_exploratory_posthoc_paired_support_intervention,131,fresh,0,2,1->0,-1,0.7268850653000996,0.7703,1,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,131,fresh,2,4,0->1,1,-0.4194511263564122,-0.43839999999999996,1,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,131,fresh,4,6,1->0,-1,0.4540073558117395,0.447,1,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,131,fresh,6,8,0->0,0,0.20464474823894896,0.20489999999999997,1,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,131,fresh,8,10,0->0,0,-0.011955968350503499,-0.007399999999999962,1,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,131,fresh,10,50,0->0,0,0.020930700373500866,0.008000000000000007,1,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,131,fresh,50,100,0->0,0,0.003503957404875857,0.0012999999999999678,1,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,131,fresh,100,250,0->0,0,0.0001444424834732283,0.0,1,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,131,fresh,250,450,0->0,0,-0.0009277787743329213,0.0,1,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,137,fresh,0,2,1->0,-1,0.3833523910410748,0.3955,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,137,fresh,2,4,0->0,0,0.012659867700137273,0.014399999999999968,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,137,fresh,4,6,0->0,0,0.11018221683866403,0.10899999999999999,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,137,fresh,6,8,0->0,0,-0.07330313481760864,-0.0827,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,137,fresh,8,10,0->0,0,0.1965135162381213,0.21989999999999998,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,137,fresh,10,50,0->0,0,0.20524103182140574,0.1894,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,137,fresh,50,100,0->0,0,0.027998457499954443,0.01990000000000003,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,137,fresh,100,250,0->0,0,-0.0006144416526429053,-0.00019999999999997797,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,137,fresh,250,450,0->0,0,-0.011860063752972105,-0.010800000000000032,0,3,1,2
adaptive_exploratory_posthoc_paired_support_intervention,139,fresh,0,2,1->0,-1,0.31069846796198874,0.34169999999999995,0,3,0,2
adaptive_exploratory_posthoc_paired_support_intervention,139,fresh,2,4,0->0,0,-0.03279117291569078,-0.03739999999999999,0,3,0,2
adaptive_exploratory_posthoc_paired_support_intervention,139,fresh,4,6,0->0,0,0.06711523023038779,0.05740000000000001,0,3,0,2
adaptive_exploratory_posthoc_paired_support_intervention,139,fresh,6,8,0->0,0,0.12902442630965727,0.14350000000000007,0,3,0,2
adaptive_exploratory_posthoc_paired_support_intervention,139,fresh,8,10,0->0,0,0.07835712488876012,0.0804999999999999,0,3,0,2
adaptive_exploratory_posthoc_paired_support_intervention,139,fresh,10,50,0->0,0,0.08229304257602132,0.06110000000000004,0,3,0,2
adaptive_exploratory_posthoc_paired_support_intervention,139,fresh,50,100,0->0,0,0.001107498104675364,0.0,0,3,0,2
adaptive_exploratory_posthoc_paired_support_intervention,139,fresh,100,250,0->0,0,-1.1841380525456913e-05,0.0,0,3,0,2
adaptive_exploratory_posthoc_paired_support_intervention,139,fresh,250,450,0->0,0,-0.0005135175224619815,0.0,0,3,0,2
adaptive_exploratory_posthoc_paired_support_intervention,149,fresh,0,2,1->1,0,0.30226028052163445,0.2994,0,1,0,4
adaptive_exploratory_posthoc_paired_support_intervention,149,fresh,2,4,1->0,-1,0.19078219330743507,0.2002,0,1,0,4
adaptive_exploratory_posthoc_paired_support_intervention,149,fresh,4,6,0->0,0,0.019280841722933983,0.020399999999999974,0,1,0,4
adaptive_exploratory_posthoc_paired_support_intervention,149,fresh,6,8,0->0,0,0.13360256726348985,0.14600000000000002,0,1,0,4
adaptive_exploratory_posthoc_paired_support_intervention,149,fresh,8,10,0->0,0,0.16098352490245726,0.17710000000000004,0,1,0,4
adaptive_exploratory_posthoc_paired_support_intervention,149,fresh,10,50,0->0,0,0.13770508131023573,0.11929999999999996,0,1,0,4
adaptive_exploratory_posthoc_paired_support_intervention,149,fresh,50,100,0->0,0,0.015262237652669208,0.0029000000000000137,0,1,0,4
adaptive_exploratory_posthoc_paired_support_intervention,149,fresh,100,250,0->0,0,0.0011162922874894399,0.0030000000000000027,0,1,0,4
adaptive_exploratory_posthoc_paired_support_intervention,149,fresh,250,450,0->0,0,-0.0014975995482525706,-0.0020999999999999908,0,1,0,4
adaptive_exploratory_posthoc_paired_support_intervention,151,fresh,0,2,1->1,0,0.11805705599472752,0.1184,0,3,0,4
adaptive_exploratory_posthoc_paired_support_intervention,151,fresh,2,4,1->0,-1,0.37241789790538626,0.4095,0,3,0,4
adaptive_exploratory_posthoc_paired_support_intervention,151,fresh,4,6,0->0,0,0.17641105863161766,0.1795,0,3,0,4
adaptive_exploratory_posthoc_paired_support_intervention,151,fresh,6,8,0->0,0,-0.019196537652492962,-0.020100000000000007,0,3,0,4
adaptive_exploratory_posthoc_paired_support_intervention,151,fresh,8,10,0->0,0,-0.04304945716980502,-0.04749999999999999,0,3,0,4
adaptive_exploratory_posthoc_paired_support_intervention,151,fresh,10,50,0->0,0,0.17029203318921105,0.14890000000000003,0,3,0,4
adaptive_exploratory_posthoc_paired_support_intervention,151,fresh,50,100,0->0,0,0.001698048494328197,0.0,0,3,0,4
adaptive_exploratory_posthoc_paired_support_intervention,151,fresh,100,250,0->0,0,0.0001330777207998457,0.0,0,3,0,4
adaptive_exploratory_posthoc_paired_support_intervention,151,fresh,250,450,0->0,0,-0.003079829190225536,-0.0004999999999999449,0,3,0,4
