run_id,seed,rule,q,width,depth,parameters,proxy_decoder_accuracy,exact_decoder_accuracy,decoder_advantage,rho_y,rho_p,iid_accuracy,single_channel_bayes,proxy_flip_rate,rule_flip_rate,proxy_probability_ate,rule_probability_ate,exact_acquisition_step,exact_acquisition_observed,exact_restricted_acquisition_step,competition_acquisition_step,competition_acquisition_observed,competition_restricted_acquisition_step
2372ff8adf9803d3bda0,71,conjunction,0.75,128,1,2305,1.0,1.0,0.0,1.0,0.0,1.0,0.7605,0.0,1.0,9.506696594961784e-06,-0.999966372884898,45,1,45,32,1,32
238220f41105f006f121,53,conjunction,0.9,8,2,217,1.0,1.0,0.0,1.0,0.0,1.0,0.7638,0.0,1.0,5.248487296505424e-05,-0.9999294853120686,32,1,32,128,1,128
2396a21f7d70fd09ecb0,37,conjunction,0.75,8,2,217,1.0,1.0,0.0,1.0,0.0,1.0,0.7629,0.0,1.0,2.1190734109612584e-06,-0.9928146270955134,32,1,32,91,1,91
23c6dffbb90369a16ccc,97,conjunction,0.9,32,1,577,1.0,1.0,0.0,1.0,0.0,1.0,0.7657,0.0,1.0,0.00014161079528992175,-0.9997890376376701,64,1,64,91,1,91
23db883e0523a4e34a22,83,majority,0.75,16,2,561,1.0,1.0,0.0,1.0,0.0,1.0,0.691,0.0,1.0,3.283503292421763e-06,-0.9999928472775966,32,1,32,64,1,64
2460c263c3d1c1265f2c,101,multiplexer,0.75,8,2,217,1.0,1.0,0.0,1.0,0.0,1.0,0.6318,0.0,1.0,4.280755093516081e-05,-0.9999121169459678,181,1,181,256,1,256
246595ba9228e9d95826,41,majority,0.9,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.6949,0.0,1.0,1.722955736668208e-06,-0.9999976410212342,23,1,23,64,1,64
2482524c2284123e79d9,23,conjunction,0.99,32,1,577,1.0,1.0,0.0,1.0,0.0,1.0,0.7588,0.0,1.0,0.005119722144281544,-0.9948074674962522,91,1,91,362,1,362
248b15a70278d84d332d,101,majority,0.75,16,2,561,1.0,1.0,0.0,1.0,0.0,1.0,0.6922,0.0,1.0,2.595952175505245e-06,-0.9999939127999827,32,1,32,64,1,64
264006fd3d14cc3c8c42,37,majority,0.75,32,2,1633,1.0,1.0,0.0,1.0,0.0,1.0,0.6962,0.0,1.0,9.729552610084346e-07,-0.9999977446718181,23,1,23,45,1,45
266af2b9561042805b0b,71,majority,0.75,16,1,289,1.0,1.0,0.0,1.0,0.0,1.0,0.6947,0.0,1.0,3.301098132612188e-05,-0.9999227708178907,64,1,64,128,1,128
267e0ec7fc52ac7b7ee2,101,multiplexer,0.75,128,2,18817,1.0,1.0,0.0,1.0,0.0,1.0,0.6318,0.0,1.0,1.9646450719454924e-06,-0.9999965929042787,23,1,23,64,1,64
26f006daa129bc59bf16,37,conjunction,0.9,16,1,289,1.0,1.0,0.0,1.0,0.0,1.0,0.7629,0.0,1.0,0.00015850274816416602,-0.9997397847395416,181,1,181,128,1,128
2724fe08fbaea78b8982,37,conjunction,0.99,32,1,577,1.0,1.0,0.0,0.9992,0.0008,1.0,0.7629,0.0008,0.9992,0.011323122316247802,-0.9885935253915675,91,1,91,91,1,91
