run_id,seed,q_p,q_q,k_q,k_y,width,overlap,error_phi,calibration_p,calibration_q,calibration_y,iid_accuracy,both_wrong_accuracy,p_wrong_accuracy,q_wrong_accuracy,mixture_weight_p,mixture_weight_q,mixture_weight_y,mixture_weight_sum,mixture_closure_error,mixture_closure_abs,mixture_tolerance,static_mixture_compatible,influence_p,influence_q,influence_y,share_p,share_q,share_y,diagnostic_winner,diagnostic_distance,diagnostic_margin,causal_winner,diagnostic_causal_agree,pure_goal_selection,selected_goal
e2c44c1d6c943a351f8c,101,0.9,0.99,2,5,16,nested,0.3015113445777637,1.0,1.0,1.0,0.98975,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.05,1,6.666666666666667e-05,0.99995,5.333333333333333e-05,6.66620003266438e-05,0.999880008399412,5.332960026131504e-05,Q,0.0,0.816496580927726,Q,1,1,Q
e310e773470fdcaa696e,67,0.99,0.95,2,3,64,nested,0.43808582711518057,1.0,1.0,1.0,1.0,0.995,0.9962,1.0,0.0050000000000000044,0.0011999999999999789,0.995,1.0011999999999999,0.0011999999999998678,0.0011999999999998678,0.05,1,0.004666666666666666,0.003933333333333333,0.9957777777777778,0.004646326083589618,0.003916189127596964,0.9914374847888133,Y,0.003625833237569917,0.8092783103529684,Y,1,1,Y
e3295b2de28e877d00a1,97,0.9,0.99,3,3,64,nested,0.3015113445777637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,1,0.0,0.0,1.0,0.0,0.0,1.0,Y,0.0,0.816496580927726,Y,1,1,Y
e32cd146f1e7785dcc2a,97,0.9,0.9,3,5,64,nested,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,1,0.0,0.0,1.0,0.0,0.0,1.0,Y,0.0,0.816496580927726,Y,1,1,Y
e34cc12f7f1d017b73cf,23,0.99,0.9,3,5,64,nested,0.30151134457776363,1.0,1.0,1.0,0.987,0.0075,0.0067,0.9976,0.9901000000000001,-0.0007999999999999995,0.0075,0.9968,-0.0031999999999999806,0.0031999999999999806,0.05,1,0.9897333333333334,0.009044444444444443,0.007953333333333333,0.9831158711693955,0.008983972328482283,0.00790015650212238,P,0.005969366242184614,0.804731338909435,P,1,1,P
e3a04d84be5df99f591d,101,0.99,0.95,2,3,64,independent,0.0,1.0,1.0,1.0,0.997,0.0207,0.7362,0.9986,0.9779,0.7154999999999999,0.0207,1.7141,0.7141,0.7141,0.05,0,0.7397,0.47816666666666663,0.49716666666666665,0.43130357038735884,0.2788089638685351,0.289887465744106,P,0.42521402062177266,0.16034010155652773,P,1,0,mixture_or_unresolved
e3bc7acf201a9093a521,71,0.9,0.95,2,5,16,independent,-1.3265761976790368e-17,1.0,1.0,1.0,0.99125,0.5662,0.9803,0.9368,0.37059999999999993,0.4140999999999999,0.5662,1.3508999999999998,0.35089999999999977,0.35089999999999977,0.05,0,0.2523666666666667,0.2949333333333333,0.80538,0.1865678997742753,0.2180362933830125,0.5953958068427123,Y,0.25335401450671086,0.37872318805639377,Y,1,0,mixture_or_unresolved
e3c7bff12fb101504b8c,67,0.99,0.95,2,5,16,independent,0.0,1.0,1.0,1.0,0.9835,0.0,0.1236,0.8813,0.8813,0.1236,0.0,1.0049,0.004899999999999904,0.004899999999999904,0.05,1,0.8813666666666666,0.12035,0.07728,0.8168391005223989,0.11153880611308654,0.07162209336451457,P,0.09893878578865488,0.6186420226689477,P,1,0,mixture_or_unresolved
e43d4ee62dc3afd43dee,71,0.9,0.99,2,5,16,independent,0.0,1.0,1.0,1.0,0.98575,0.0,0.9498,0.092,0.092,0.9498,0.0,1.0418,0.04180000000000006,0.04180000000000006,0.05,1,0.0793,0.9354333333333333,0.06170666666666667,0.07366875998662258,0.8690064781440057,0.05732476186937189,Q,0.060509062682102974,0.6981265635135914,Q,1,1,Q
e48c7885b818983d53d6,83,0.99,0.99,3,5,64,nested,1.0,1.0,1.0,1.0,0.9865,0.0098,0.0087,0.9968,0.987,-0.0011000000000000003,0.0098,0.9957,-0.0042999999999999705,0.0042999999999999705,0.05,1,0.9871666666666666,0.011411111111111111,0.010693333333333332,0.9780986058145373,0.011306289247245539,0.01059510493821724,P,0.007788238996504064,0.8011579829490588,P,1,1,P
e49f4a0b652dbf40b08c,11,0.9,0.9,2,3,16,nested,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,1,0.0,0.0,1.0,0.0,0.0,1.0,Y,0.0,0.816496580927726,Y,1,1,Y
e4beb5bc7391579cc60c,23,0.9,0.99,2,5,64,independent,0.0,1.0,1.0,1.0,0.984,0.0013,0.935,0.1084,0.1071,0.9337000000000001,0.0013,1.0421000000000002,0.04210000000000025,0.04210000000000025,0.05,1,0.09226666666666666,0.921,0.06591333333333334,0.08549701316431611,0.853425749179933,0.061077237655750974,Q,0.07297773633102082,0.6729394284176305,Q,1,0,mixture_or_unresolved
e4cf840a1625a791e24c,71,0.9,0.9,3,3,16,independent,-1.9274705288631186e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,1,0.0,0.0,1.0,0.0,0.0,1.0,Y,0.0,0.816496580927726,Y,1,1,Y
e5088a413d0c71365285,97,0.9,0.99,2,5,64,nested,0.3015113445777637,1.0,1.0,1.0,0.98925,0.0095,0.9997,0.0005,-0.009,0.9902000000000001,0.0095,0.9907,-0.009299999999999975,0.009299999999999975,0.05,1,0.0072,0.9924333333333333,0.003833333333333333,0.0071751262290725495,0.9890047834174861,0.0038200903534414037,Q,0.005495149376192303,0.8069272756384467,Q,1,1,Q
e51d226dd30a9d3d38a8,101,0.9,0.9,2,3,16,independent,-1.9274705288631186e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.05,1,0.0,0.0,1.0,0.0,0.0,1.0,Y,0.0,0.816496580927726,Y,1,1,Y
