mode,k,total,trainable,decoder,behavior,crossed
full,2,3713,3713,1.0,1.0,True
head_only,5,5249,65,0.598,0.0,False
full,2,137,137,1.0,1.0,True
full,4,1089,1089,1.0,1.0,True
head_only,3,209,9,0.49125,0.2104,False
head_only,5,545,33,0.594,0.0,False
head_only,5,209,9,0.3985,0.2758,False
full,5,545,545,1.0,1.0,True
head_only,5,3713,33,0.66075,0.2981,False
head_only,5,2177,129,0.59225,0.0,False
full,5,51713,51713,1.0,1.0,True
full,2,13569,13569,1.0,1.0,True
subspace,1,51713,16,1.0,0.5439,True
head_only,1,209,9,1.0,0.5565,True
head_only,2,2177,129,1.0,0.0023,True
full,4,2177,2177,1.0,1.0,True
head_only,5,3713,33,0.47,0.0131,False
full,3,137,137,1.0,1.0,True
full,5,353,353,1.0,1.0,True
head_only,1,1089,65,1.0,1.0,True
head_only,4,273,17,0.5035,0.0009,False
full,2,273,273,1.0,1.0,True
full,1,137,137,1.0,1.0,True
head_only,4,545,33,0.512,0.0,False
head_only,2,1089,17,1.0,0.0674,True
full,5,18689,18689,1.0,1.0,True
full,4,353,353,1.0,1.0,True
full,5,18689,18689,1.0,1.0,True
full,3,1089,1089,1.0,1.0,True
head_only,2,1089,17,0.74625,0.078,False
head_only,3,1089,17,0.751,0.3522,False
head_only,5,13569,65,0.53325,0.0,False
head_only,3,273,17,1.0,0.1269,True
full,1,1601,1601,1.0,1.0,True
head_only,2,51713,129,1.0,0.159,True
head_only,1,1089,17,1.0,0.4487,True
head_only,3,353,9,0.747,0.1845,False
head_only,1,1089,65,1.0,1.0,True
full,4,273,273,1.0,1.0,True
head_only,3,273,17,1.0,0.0615,True
head_only,3,209,9,0.37225,0.2813,False
head_only,2,1089,65,1.0,0.5065,True
full,5,137,137,1.0,0.0,True
full,3,13569,13569,1.0,1.0,True
head_only,3,545,33,1.0,0.0,True
head_only,5,137,9,0.53525,0.2325,False
head_only,2,353,9,1.0,0.2218,True
full,5,1601,1601,1.0,1.0,True
full,1,545,545,1.0,1.0,True
full,4,5249,5249,1.0,1.0,True
full,1,273,273,1.0,1.0,True
full,1,1089,1089,1.0,1.0,True
full,4,353,353,1.0,1.0,True
full,2,5249,5249,1.0,1.0,True
full,3,18689,18689,1.0,1.0,True
head_only,5,1601,33,0.59575,0.0,False
head_only,2,18689,129,1.0,0.1989,True
full,4,18689,18689,1.0,1.0,True
full,2,1089,1089,1.0,1.0,True
full,3,18689,18689,1.0,1.0,True
head_only,2,1089,17,1.0,0.1954,True
full,3,51713,51713,1.0,1.0,True
full,5,2177,2177,1.0,1.0,True
head_only,5,545,33,0.466,0.0,False
head_only,1,1601,33,1.0,1.0,True
head_only,4,2177,129,0.62275,0.0,False
head_only,2,137,9,0.5045,0.0454,False
full,5,273,273,1.0,1.0,True
full,5,1089,1089,1.0,1.0,True
head_only,4,1089,17,0.693,0.1461,False
full,3,1601,1601,1.0,1.0,True
head_only,2,3713,33,1.0,0.0,True
full,5,137,137,0.97025,0.0,True
full,4,1089,1089,1.0,1.0,True
full,2,3713,3713,1.0,1.0,True
head_only,5,2177,129,0.58575,0.0,False
full,5,1089,1089,1.0,1.0,True
full,1,353,353,1.0,1.0,True
head_only,3,209,9,0.628,0.06,False
full,4,545,545,1.0,1.0,True
full,1,5249,5249,1.0,1.0,True
head_only,5,545,17,0.59925,0.0515,False
full,5,5249,5249,1.0,1.0,True
head_only,2,3713,33,1.0,0.18,True
full,1,137,137,1.0,1.0,True
full,4,353,353,1.0,1.0,True
full,1,18689,18689,1.0,1.0,True
head_only,2,1089,65,1.0,0.0,True
head_only,3,5249,65,0.8795,0.0007,False
head_only,3,209,9,0.7445,0.2445,False
full,2,273,273,1.0,1.0,True
full,3,545,545,1.0,1.0,True
full,3,3713,3713,1.0,1.0,True
full,1,51713,51713,1.0,1.0,True
full,4,545,545,1.0,1.0,True
head_only,1,353,9,1.0,0.4264,True
head_only,1,13569,65,1.0,0.9999,True
full,1,273,273,1.0,1.0,True
head_only,5,5249,65,0.49425,0.0014,False
head_only,5,3713,33,0.58475,0.1307,False
head_only,2,5249,65,1.0,0.109,True
