inference_status,run_id,q,k,cell,cell_label,schedule,schedule_label,seed,boundary_rho_y,boundary_intended_probability,boundary_policy_entropy,boundary_iid_accuracy,final_rho_y,final_intended_probability,final_policy_entropy,final_iid_accuracy,final_iid_reward,phase_b_rho_y_area,phase_b_mean_rho_y,crossing_observed,crossing_global_step,crossing_phase_b_updates,restricted_crossing_phase_b_updates,crossing_censor_updates,boundary_proxy_hard_flip,boundary_proxy_probability_ate,boundary_exact_hard_flip,boundary_exact_probability_ate,final_proxy_hard_flip,final_proxy_probability_ate,final_exact_hard_flip,final_exact_probability_ate,actor_l2_from_boundary,actor_relative_l2_from_boundary,critic_l2_from_boundary,critic_relative_l2_from_boundary,phase_b_critic_loss_log_grid_mean,phase_b_critic_loss_final_logged,exact_hard_flip_change,proxy_hard_flip_change,exact_probability_ate_change,proxy_probability_ate_change,final_quantized_rho_y,final_quantization_plateau_index,final_quantization_abs_residual,final_within_0_01_of_interaction_plateau
exploratory_post_hoc_boundary_specific,26c2c6e814f4b4d7f2ac,0.9,3,negative_control,preselected comparison,high_high,continuous,37,0.0,0.002573165858317556,0.015850209897485305,0.9,0.2587,0.2586992247613727,8.631950683230536e-06,0.92725,0.92725,314.57919999999996,0.158558064516129,0,,,1984.0,1984,1.0,0.9954569453696304,0.0,-0.000577807556672234,0.7413,0.7412856553981118,0.2587,-0.2586839012255792,5.7158815669193785,0.6545329709543715,7.64586071483762,0.6464454541004537,0.008547404564459057,7.933894266898278e-06,0.2587,-0.25870000000000004,-0.25810609366890697,-0.2541712899715186,0.25,2,0.008699999999999986,1
exploratory_post_hoc_boundary_specific,2754a7d629e4309b234d,0.9,3,negative_control,preselected comparison,delayed_carry,delayed,101,0.0,0.0006271156909202671,0.0046029288228969555,0.9,0.2458,0.24579929215623825,7.642360814481871e-06,0.92575,0.92575,434.784,0.21914516129032258,0,,,1984.0,1984,1.0,0.9987070008104911,0.0,3.428383285387997e-05,0.7542,0.7542006642509393,0.2458,-0.2457992512832818,6.343834400749766,0.6826593562117378,8.814499921239907,0.74442168406327,0.015291182897971831,1.0489493433851749e-05,0.2458,-0.24580000000000002,-0.2458335351161357,-0.24450633655955178,0.25,2,0.004200000000000009,1
exploratory_post_hoc_boundary_specific,2809a04a27346ae364f5,0.75,4,responsive,responsive boundary,delayed_critic_reset,delayed + critic reset,53,0.0,0.0006671996052446947,0.005154120923420611,0.75,0.248,0.24799849941704644,1.4858698395274478e-05,0.81275,0.81275,418.976,0.21117741935483872,0,,,1984.0,1984,1.0,0.9986572642895671,0.0,-9.780390162871847e-06,0.752,0.7520011434847058,0.248,-0.24799813421596112,8.507597042740038,0.945962664109952,9.891806856120288,0.8387912357030242,0.034504740955991424,4.4345080823404714e-05,0.248,-0.248,-0.24798835382579826,-0.24665612080486132,0.25,4,0.0020000000000000018,1
exploratory_post_hoc_boundary_specific,2b142ddd600c60b25ff9,0.9,3,negative_control,preselected comparison,high_high,continuous,41,0.0,0.001583151956653545,0.009752272611158113,0.9,0.0,3.7110027948892416e-08,5.843174487175319e-07,0.9,0.9,0.0,0.0,0,,,1984.0,1984,1.0,0.9970823009325191,0.0,-0.00023462205832841925,1.0,0.9999999394839004,0.0,-1.2253106547045533e-08,3.2577794312022443,0.3594495324932123,9.442193364711624,0.7993795674326147,0.015819221212379178,1.1399134564271662e-05,0.0,0.0,0.00023460980522187222,0.002917638551381274,0.0,0,0.0,1
exploratory_post_hoc_boundary_specific,2c67233d45c4ecf80f7a,0.9,3,negative_control,preselected comparison,delayed_carry,delayed,53,0.0,0.00030774625126520316,0.002589745335572371,0.9,0.2406,0.2405082677137003,0.0006050486010490528,0.92875,0.92875,115.488,0.05820967741935484,0,,,1984.0,1984,1.0,0.9993982823974796,0.0,-1.5271097113664763e-05,0.7594,0.7594817100645096,0.2406,-0.2404978444997569,5.792229019056835,0.6248500320959465,10.011589069451322,0.8448758055874899,0.015326374517585232,9.099830094783101e-06,0.2406,-0.24060000000000004,-0.24048257340264323,-0.23991657233297004,0.25,2,0.009399999999999992,1
exploratory_post_hoc_boundary_specific,2f959e36d6da3a11814e,0.9,3,negative_control,preselected comparison,zero_zero,never,83,0.0,0.0001986959237856103,0.001770953937772488,0.9,0.0,1.4766595275299052e-05,0.00010944154710577628,0.9,0.9,0.0,0.0,0,,,1984.0,1984,1.0,0.9996238122764631,0.0,-1.7686092950174667e-05,1.0,0.9999078010232035,0.0,5.722536406142223e-05,2.687168640883769,0.2840489065009611,8.006575044633514,0.668109841174878,0.009079250213604097,7.599616310471902e-06,0.0,0.0,7.49114570115969e-05,0.00028398874674040453,0.0,0,0.0,1
exploratory_post_hoc_boundary_specific,316a41d60318306d0d2f,0.75,4,responsive,responsive boundary,delayed_carry,delayed,23,0.0,0.0005758660790995173,0.004552368730100354,0.75,0.2462,0.24619957146418064,4.887678855534789e-06,0.81275,0.81275,440.75840000000005,0.22215645161290326,0,,,1984.0,1984,1.0,0.998844289779401,0.0,-1.0919803415280449e-05,0.7538,0.7537854018450687,0.2462,-0.2461827572154034,8.49497650984829,0.9437841367753654,10.150817750885722,0.8524376337967877,0.02942222067730504,2.1014053345425054e-05,0.2462,-0.24619999999999997,-0.24617183741198811,-0.24505888793433228,0.25,4,0.003799999999999998,1
exploratory_post_hoc_boundary_specific,31b2cbb422149707ad1a,0.9,3,negative_control,preselected comparison,early_only,early only,23,0.0,0.0009327955585917895,0.007030461402339373,0.9,0.0,1.3327970064146518e-07,1.8836819464588515e-06,0.9,0.9,0.0,0.0,0,,,1984.0,1984,1.0,0.9981472409622025,0.0,-4.310591860058798e-05,1.0,0.9999998061134342,0.0,-7.231046080767054e-08,3.8213316155735826,0.4260106305405979,8.411827635043986,0.702113815428926,0.01562012201987007,1.2072066965629347e-05,0.0,0.0,4.303360813978031e-05,0.0018525651512316665,0.0,0,0.0,1
exploratory_post_hoc_boundary_specific,32798c2d2a6a8a872b0a,0.9,3,negative_control,preselected comparison,delayed_critic_reset,delayed + critic reset,23,0.0,0.0002931946939382436,0.0025320745645121376,0.9,0.248,0.24729434848464543,0.004376444164534028,0.92525,0.92525,398.592,0.20090322580645162,0,,,1984.0,1984,1.0,0.9994302716756767,0.0,-2.2449518874672603e-05,0.752,0.7527034553284899,0.248,-0.24729227876083912,5.373545080665939,0.5793212410268619,7.484596406250585,0.6243297351549302,0.017535608275766487,0.0001078874192899093,0.248,-0.248,-0.24726982924196445,-0.24672681634718674,0.25,2,0.0020000000000000018,1
exploratory_post_hoc_boundary_specific,330779f725178ffc1d21,0.75,4,responsive,responsive boundary,early_only,early only,101,0.0,0.0380742605073251,0.14175466693474595,0.75,0.2497,0.2496941808263247,4.496398643045534e-05,0.81025,0.81025,258.512,0.1302983870967742,0,,,1984.0,1984,1.0,0.9273357700430149,0.0,-0.0034543333954862006,0.7503,0.7502999500604074,0.2497,-0.24968807321382852,10.206578208020117,1.2448262092926388,12.616089851584247,1.0704313995392505,0.05526676966348006,1.9535164028638974e-05,0.2497,-0.24970000000000003,-0.24623373981834232,-0.17703581998260753,0.25,4,0.0002999999999999947,1
exploratory_post_hoc_boundary_specific,401e7031b40d518bbd0a,0.75,4,responsive,responsive boundary,zero_zero,never,11,0.0,0.0008682424465219949,0.006083336439974004,0.75,0.1273,0.12729889212941645,1.1173365957830432e-05,0.78,0.78,154.7968,0.07802258064516128,0,,,1984.0,1984,1.0,0.9982889228047243,0.0,-3.518661300103821e-05,0.8727,0.872699921481263,0.1273,-0.1272976464897372,7.0225008237854,0.7870266836348144,11.323947326412533,0.9679089703728759,0.03603948481460252,1.2671284821408335e-05,0.1273,-0.12729999999999997,-0.12726245987673618,-0.1255890013234613,0.125,2,0.0022999999999999965,1
exploratory_post_hoc_boundary_specific,40237659cdd63a4b1671,0.75,4,responsive,responsive boundary,delayed_actor_reset,delayed + actor-Adam reset,23,0.0,0.0005758660790995173,0.004552368730100354,0.75,0.2498,0.2497935611712859,6.990959492145713e-05,0.81125,0.81125,446.44399999999996,0.22502217741935482,0,,,1984.0,1984,1.0,0.998844289779401,0.0,-1.0919803415280449e-05,0.7502,0.7501747478305089,0.2498,-0.2497636998965665,8.876605145768465,0.9861827299089815,9.77452543466338,0.8208376445615858,0.031820066578839346,1.5348370652645826e-05,0.2498,-0.24980000000000002,-0.24975278009315122,-0.24866954194889213,0.25,4,0.00020000000000000573,1
exploratory_post_hoc_boundary_specific,43ad467c2815d40d4c69,0.75,4,responsive,responsive boundary,delayed_critic_reset,delayed + critic reset,23,0.0,0.0005758660790995173,0.004552368730100354,0.75,0.2462,0.24619956393135217,4.786546040184235e-06,0.81275,0.81275,439.74080000000004,0.2216435483870968,0,,,1984.0,1984,1.0,0.998844289779401,0.0,-1.0919803415280449e-05,0.7538,0.7537982199800797,0.2462,-0.24619728245675115,8.82228934987785,0.9801482945602242,9.715609103481682,0.8158900138211824,0.03405947950421478,1.785635140549857e-05,0.2462,-0.24619999999999997,-0.24618636265333588,-0.2450460697993213,0.25,4,0.003799999999999998,1
