inference_status,factor,comparison,cohort,outcome,matched_pairs,estimate,ci_low,ci_high,n_seeds
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_tuple_composite,80,0.275,0.25,0.3125,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_codeword_patch,40,0.025,0.0,0.075,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_codeword_patch,40,0.0,-0.075,0.075,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_codeword_patch,80,0.0125,-0.025,0.05,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,original,final_tuple_consistency,40,-0.014495849609375,-0.024122314453124998,-0.005865020751953123,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,fresh,final_tuple_consistency,40,-0.0146728515625,-0.024713592529296873,-0.001629638671875,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.95 - 0.9,pooled,final_tuple_consistency,80,-0.0145843505859375,-0.021574020385742188,-0.006420822143554688,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_behavior_P,40,0.03345947265625,0.0230706787109375,0.044275970458984376,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_behavior_P,40,0.027874755859375,0.018060150146484374,0.03759185791015625,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_behavior_P,80,0.0306671142578125,0.02369964599609375,0.03806770324707032,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_behavior_Q,40,0.23447265625,0.2202264404296875,0.24829177856445311,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,fresh,final_behavior_Q,40,0.187860107421875,0.17063583374023436,0.20317581176757815,10
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,pooled,final_behavior_Q,80,0.2111663818359375,0.19637077331542968,0.22555267333984375,20
adaptive_exploratory_posthoc_with_fresh_seed_replication,q_q,0.99 - 0.95,original,final_behavior_Y,40,-0.23974609375,-0.25310714721679684,-0.22598876953125,10
