seed,trajectory,eligible_intersection,first_non_p_goal,first_non_p_confirmation_step,final_control_taxonomy,final_boolean_signature,final_boolean_signature_int,final_target_accuracy,auc128_P,handoff_P_observed,handoff_P_first_qualifying,handoff_P_confirmation,restricted_time_P,zero_behavior_P,zero_causal_P,zero_probe_final_hidden_P,zero_probe_selective_final_hidden_P,zero_control_P,final_behavior_P,final_causal_P,final_probe_final_hidden_P,final_probe_selective_final_hidden_P,final_control_P,auc128_Q,handoff_Q_observed,handoff_Q_first_qualifying,handoff_Q_confirmation,restricted_time_Q,zero_behavior_Q,zero_causal_Q,zero_probe_final_hidden_Q,zero_probe_selective_final_hidden_Q,zero_control_Q,final_behavior_Q,final_causal_Q,final_probe_final_hidden_Q,final_probe_selective_final_hidden_Q,final_control_Q,auc128_Y,handoff_Y_observed,handoff_Y_first_qualifying,handoff_Y_confirmation,restricted_time_Y,zero_behavior_Y,zero_causal_Y,zero_probe_final_hidden_Y,zero_probe_selective_final_hidden_Y,zero_control_Y,final_behavior_Y,final_causal_Y,final_probe_final_hidden_Y,final_probe_selective_final_hidden_Y,final_control_Y
163,scratch,True,Q,45,Y,01010101,85,1.0,0.5007197856903076,False,,,1024.0,0.488525390625,0.4888916015625,0.962646484375,0.367919921875,0.48870849609375,0.5,0.5,0.904052734375,0.180908203125,0.5,0.8787016868591309,True,33,45,45.0,0.492919921875,0.48980712890625,0.681396484375,0.086669921875,0.491363525390625,0.5,0.5,0.985595703125,0.262451171875,0.5,0.5420081615447998,True,161,222,222.0,0.519775390625,0.518310546875,0.527099609375,-0.067626953125,0.51904296875,1.0,1.0,1.0,0.27685546875,1.0
163,sham,True,Q,45,Y,01010101,85,1.0,0.4947011470794678,False,,,1024.0,0.46728515625,0.467041015625,0.852783203125,0.27734375,0.4671630859375,0.5,0.5,0.866943359375,0.100830078125,0.5,0.8497089147567749,True,33,45,45.0,0.48974609375,0.49468994140625,0.641845703125,0.06640625,0.492218017578125,0.5,0.5,1.0,0.23388671875,0.5,0.5692983468373616,True,128,161,161.0,0.49853515625,0.4970296223958333,0.54248046875,-0.032958984375,0.49778238932291663,1.0,1.0,1.0,0.23388671875,1.0
167,independent_carry,True,Q,17,Y,01010101,85,1.0,0.5334954261779785,True,0,1,1.0,0.990478515625,0.990966796875,1.0,0.419189453125,0.99072265625,0.5,0.5,0.976806640625,0.238525390625,0.5,0.9664766788482666,True,13,17,17.0,0.509521484375,0.50830078125,0.98681640625,0.406005859375,0.5089111328125,0.5,0.5,0.996826171875,0.258544921875,0.5,0.5000906785329182,True,222,304,304.0,0.501708984375,0.5010172526041666,0.51416015625,-0.066650390625,0.5013631184895833,1.0,1.0,1.0,0.26171875,1.0
167,independent_reset,True,Q,24,Y,01010101,85,1.0,0.5374631881713867,True,0,1,1.0,0.990478515625,0.990966796875,1.0,0.419189453125,0.99072265625,0.5,0.5,0.99560546875,0.278564453125,0.5,0.9625341892242432,True,17,24,24.0,0.509521484375,0.50830078125,0.98681640625,0.406005859375,0.5089111328125,0.5,0.5,0.998291015625,0.28125,0.5,0.5003110567728678,True,222,304,304.0,0.501708984375,0.5010172526041666,0.51416015625,-0.066650390625,0.5013631184895833,1.0,1.0,1.0,0.282958984375,1.0
167,nested_carry,True,Q,45,Y,01010101,85,1.0,0.5721075534820557,True,0,1,1.0,1.0,1.0,1.0,0.42041015625,1.0,0.5,0.5,0.9853515625,0.23486328125,0.5,0.9198977947235107,True,33,45,45.0,0.5,0.5,0.83740234375,0.2578125,0.5,0.5,0.5,0.998779296875,0.248291015625,0.5,0.5018360614776611,True,161,222,222.0,0.5,0.5,0.525634765625,-0.053955078125,0.5,1.0,1.0,1.0,0.24951171875,1.0
167,nested_reset,True,Q,45,Y,01010101,85,1.0,0.5772421360015869,True,0,1,1.0,1.0,1.0,1.0,0.42041015625,1.0,0.5,0.5,0.994384765625,0.244384765625,0.5,0.9197514057159424,True,33,45,45.0,0.5,0.5,0.83740234375,0.2578125,0.5,0.5,0.5,0.9990234375,0.2490234375,0.5,0.5014299551645914,True,222,304,304.0,0.5,0.5,0.525634765625,-0.053955078125,0.5,1.0,1.0,1.0,0.25,1.0
167,scratch,True,Q,45,Y,01010101,85,1.0,0.5102055072784424,False,,,1024.0,0.5556640625,0.5557861328125,0.958740234375,0.386474609375,0.55572509765625,0.5,0.5,0.87841796875,0.10498046875,0.5,0.922270655632019,True,33,45,45.0,0.501953125,0.50042724609375,0.6865234375,0.1142578125,0.501190185546875,0.5,0.5,1.0,0.2265625,0.5,0.5128966967264811,True,161,222,222.0,0.50146484375,0.5026448567708334,0.530517578125,-0.041748046875,0.5020548502604167,1.0,1.0,1.0,0.2265625,1.0
167,sham,True,Q,45,Y,01010101,85,1.0,0.5005803108215332,False,,,1024.0,0.477294921875,0.4759521484375,0.87109375,0.296142578125,0.47662353515625,0.5,0.5,0.859619140625,0.084228515625,0.5,0.9175400733947754,True,33,45,45.0,0.469970703125,0.4698486328125,0.638427734375,0.0634765625,0.46990966796875,0.5,0.5,0.999755859375,0.224365234375,0.5,0.5146977106730143,True,161,222,222.0,0.507080078125,0.5066324869791666,0.54296875,-0.031982421875,0.5068562825520833,1.0,1.0,1.0,0.224609375,1.0
173,independent_carry,True,Q,24,Y,01010101,85,1.0,0.5530252456665039,True,0,1,1.0,0.997314453125,0.997802734375,1.0,0.400146484375,0.99755859375,0.5,0.5,0.996826171875,0.3212890625,0.5,0.895106315612793,True,17,24,24.0,0.502685546875,0.50274658203125,0.90576171875,0.305908203125,0.502716064453125,0.5,0.5,1.0,0.324462890625,0.5,0.5543703238169353,True,128,161,161.0,0.500244140625,0.5005696614583334,0.54443359375,-0.055419921875,0.5004069010416667,1.0,1.0,1.0,0.324462890625,1.0
173,independent_reset,True,Q,33,Y,01010101,85,1.0,0.5623800754547119,True,0,1,1.0,0.997314453125,0.997802734375,1.0,0.400146484375,0.99755859375,0.5,0.5,0.999267578125,0.302734375,0.5,0.9257793426513672,True,24,33,33.0,0.502685546875,0.50274658203125,0.90576171875,0.305908203125,0.502716064453125,0.5,0.5,0.999755859375,0.30322265625,0.5,0.5132257143656412,True,161,222,222.0,0.500244140625,0.5005696614583334,0.54443359375,-0.055419921875,0.5004069010416667,1.0,1.0,1.0,0.303466796875,1.0
173,nested_carry,True,Q,62,Y,01010101,85,1.0,0.5944318771362305,True,0,1,1.0,1.0,1.0,1.0,0.41064453125,1.0,0.5,0.5,0.993408203125,0.327392578125,0.5,0.7691903114318848,True,45,62,62.0,0.5,0.5,0.726318359375,0.136962890625,0.5,0.5,0.5,0.99951171875,0.33349609375,0.5,0.6341756184895834,True,117,128,128.0,0.5,0.4999593098958333,0.61865234375,0.029296875,0.49997965494791663,1.0,1.0,1.0,0.333984375,1.0
173,nested_reset,True,Q,85,Y,01010101,85,1.0,0.6202852725982666,True,0,1,1.0,1.0,1.0,1.0,0.41064453125,1.0,0.5,0.5,0.998779296875,0.34765625,0.5,0.8003978729248047,True,62,85,85.0,0.5,0.5,0.726318359375,0.136962890625,0.5,0.5,0.5,1.0,0.348876953125,0.5,0.592600425084432,True,128,161,161.0,0.5,0.4999593098958333,0.61865234375,0.029296875,0.49997965494791663,1.0,1.0,1.0,0.348876953125,1.0
173,scratch,True,Q,45,Y,01010101,85,1.0,0.510683536529541,False,,,1024.0,0.467041015625,0.4656982421875,0.956298828125,0.378173828125,0.46636962890625,0.5,0.5,0.908203125,0.177734375,0.5,0.8127840757369995,True,33,45,45.0,0.507080078125,0.49688720703125,0.6748046875,0.0966796875,0.501983642578125,0.5,0.5,1.0,0.26953125,0.5,0.6133944193522136,True,117,128,128.0,0.504638671875,0.502685546875,0.549560546875,-0.028564453125,0.503662109375,1.0,1.0,1.0,0.26953125,1.0
173,sham,True,Q,45,Y,01010101,85,1.0,0.5095272064208984,False,,,1024.0,0.443115234375,0.43798828125,0.888671875,0.31982421875,0.4405517578125,0.5,0.5,0.9150390625,0.14501953125,0.5,0.9044644832611084,True,33,45,45.0,0.502685546875,0.491943359375,0.65283203125,0.083984375,0.497314453125,0.5,0.5,0.9990234375,0.22900390625,0.5,0.525831937789917,True,161,222,222.0,0.478759765625,0.4861246744791667,0.5498046875,-0.01904296875,0.48244222005208337,1.0,1.0,1.0,0.22998046875,1.0
179,independent_carry,True,Q,17,Y,01010101,85,1.0,0.5358114242553711,True,0,1,1.0,0.98828125,0.987548828125,1.0,0.406494140625,0.9879150390625,0.5,0.5,0.9775390625,0.25048828125,0.5,0.9642282724380493,True,13,17,17.0,0.51171875,0.5107421875,0.9990234375,0.405517578125,0.51123046875,0.5,0.5,0.995849609375,0.268798828125,0.5,0.5000807444254558,True,304,418,418.0,0.501953125,0.5015462239583334,0.500244140625,-0.09326171875,0.5017496744791667,1.0,1.0,1.0,0.27294921875,1.0
179,independent_reset,True,Q,24,Y,01010101,85,1.0,0.5421037673950195,True,0,1,1.0,0.98828125,0.987548828125,1.0,0.406494140625,0.9879150390625,0.5,0.5,0.98681640625,0.249267578125,0.5,0.958038330078125,True,17,24,24.0,0.51171875,0.5107421875,0.9990234375,0.405517578125,0.51123046875,0.5,0.5,0.995849609375,0.25830078125,0.5,0.5004514853159587,True,304,418,418.0,0.501953125,0.5015462239583334,0.500244140625,-0.09326171875,0.5017496744791667,1.0,1.0,1.0,0.262451171875,1.0
179,nested_carry,True,Q,33,Y,01010101,85,1.0,0.5728669166564941,True,0,1,1.0,0.99951171875,0.9996337890625,1.0,0.3984375,0.99957275390625,0.5,0.5,0.970458984375,0.20458984375,0.5,0.9264703989028931,True,24,33,33.0,0.50048828125,0.50030517578125,0.8818359375,0.2802734375,0.500396728515625,0.5,0.5,0.998046875,0.232177734375,0.5,0.5009258588155111,True,222,304,304.0,0.50048828125,0.5003255208333334,0.51806640625,-0.08349609375,0.5004069010416667,1.0,1.0,1.0,0.234130859375,1.0
